GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,OIME001,OIME002,OIME003,OIME004,OIME005,OIME006,OIME007,OIME008,OIME009,OIME010,OIME011,OIME012,OIME013,OIME014,OIME015,OIME016,OIME017,OIME018,OIME019,OIME020,OIME021,OIME022,OIME023,OIME024,OIME025,OIME026,OIME027,OIME028,OIME029,OIME030,OIME031,OIOE001,OIOE002,OIOE003,OIOE004,OIOE005,OIOE006,OIOE007,OIOE008,OIOE009,OIOE010,OIOE011,OIOE012,OIOE013,OIOE014,OIOE015,OIOE016,OIOE017,OIOE018,OIOE019,OIOE020,OIOE021,OIOE022,OIOE023,OIOE024,OIOE025,OIOE026,OIOE027,OIOE028,OIOE029,OIOE030,OIOE031,OISE001,OISE002,OISE003,OISE004,OISE005,OISE006,OISE007,OISE008,OISE009,OISE010,OISE011,OISE012,OISE013,OISE014,OISE015,OISE016,OISE017,OISE018,OISE019,OISE020,OISE021,OISE022,OISE023,OISE024,OISE025,OISE026,OISE027,OISE028,OISE029,OISE030,OISE031,OIUE001,OIUE002,OIUE003,OIUE004,OIUE005,OIUE006,OIUE007,OIUE008,OIUE009,OIUE010,OIUE011,OIUE012,OIUE013,OIUE014,OIUE015,OIUE016,OIUE017,OIUE018,OIUE019,OIUE020,OIUE021,OIUE022,OIUE023,OIUE024,OIUE025,OIUE026,OIUE027,OIUE028,OIUE029,OIUE030,OIUE031,NAME_M,OIMM001,OIMM002,OIMM003,OIMM004,OIMM005,OIMM006,OIMM007,OIMM008,OIMM009,OIMM010,OIMM011,OIMM012,OIMM013,OIMM014,OIMM015,OIMM016,OIMM017,OIMM018,OIMM019,OIMM020,OIMM021,OIMM022,OIMM023,OIMM024,OIMM025,OIMM026,OIMM027,OIMM028,OIMM029,OIMM030,OIMM031,OIOM001,OIOM002,OIOM003,OIOM004,OIOM005,OIOM006,OIOM007,OIOM008,OIOM009,OIOM010,OIOM011,OIOM012,OIOM013,OIOM014,OIOM015,OIOM016,OIOM017,OIOM018,OIOM019,OIOM020,OIOM021,OIOM022,OIOM023,OIOM024,OIOM025,OIOM026,OIOM027,OIOM028,OIOM029,OIOM030,OIOM031,OISM001,OISM002,OISM003,OISM004,OISM005,OISM006,OISM007,OISM008,OISM009,OISM010,OISM011,OISM012,OISM013,OISM014,OISM015,OISM016,OISM017,OISM018,OISM019,OISM020,OISM021,OISM022,OISM023,OISM024,OISM025,OISM026,OISM027,OISM028,OISM029,OISM030,OISM031,OIUM001,OIUM002,OIUM003,OIUM004,OIUM005,OIUM006,OIUM007,OIUM008,OIUM009,OIUM010,OIUM011,OIUM012,OIUM013,OIUM014,OIUM015,OIUM016,OIUM017,OIUM018,OIUM019,OIUM020,OIUM021,OIUM022,OIUM023,OIUM024,OIUM025,OIUM026,OIUM027,OIUM028,OIUM029,OIUM030,OIUM031
"G130","2012",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",5992846,2966879,182316,194573,196927,115058,81725,204967,196072,195840,408216,439651,373006,239979,109305,29244,3025967,173755,181776,194750,106365,76920,187212,190097,188448,409937,439374,393963,269651,149160,64559,3063367,1444033,113970,123862,123554,73778,58215,125304,100230,101549,197729,192392,139552,64785,23432,5681,1619334,111011,111997,122461,70498,54335,131347,112761,120210,239646,224866,173499,85200,44141,17362,337015,162003,11003,14269,10516,4759,4961,14718,12380,12995,29223,22218,14403,6905,3176,477,175012,10545,13501,10465,6409,5123,12300,13785,14954,35358,23644,17452,7742,3203,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",16084,10646,3799,6179,6173,2530,3507,4475,2952,3085,3584,2767,1770,1155,2425,2395,8835,3126,5345,5740,2822,3154,3573,2830,2704,2798,2411,1500,1516,3248,3102,11970,7508,2766,5191,4866,2872,2648,3288,2982,3215,3608,3224,1916,1920,1525,799,7984,3273,5000,5028,2354,2306,3859,2662,2947,3461,2793,2250,1843,2011,1755,6051,3900,1234,1884,1497,616,1169,1440,1015,829,1420,1136,1042,974,879,497,3414,1204,1500,1565,992,1074,1475,1024,1107,1770,1428,1031,800,816,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2012",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",347252,190751,8665,7436,4951,2788,3903,18183,19518,15833,25804,25742,30440,17901,6357,3230,156501,8018,6238,5462,3250,2294,10589,13401,12119,18543,21728,27842,15816,6719,4482,25613,16314,1206,1037,574,0,1348,2238,2191,1790,2669,1640,733,386,349,153,9299,1084,699,1253,66,123,940,1289,880,1362,771,560,103,0,169,531663,247027,10367,10490,12625,8353,5090,14532,14390,12823,30893,37299,38742,26288,15819,9316,284636,8020,10585,10355,7780,4257,14286,14738,15959,38281,44299,44655,30462,24558,16401,145408,73217,6068,7281,5801,4227,2305,5830,5489,5471,9147,8961,7054,3739,1578,266,72191,5825,6377,5565,3657,2477,5537,4538,6164,9868,8466,7132,4176,1877,532,"Hawaii",2786,1661,674,843,788,474,616,808,696,595,738,472,630,220,615,629,1844,594,854,754,457,360,504,636,532,628,468,487,314,717,688,1698,1106,396,388,314,177,686,813,520,252,356,249,261,221,287,211,937,191,426,596,110,181,387,480,174,480,422,234,112,177,217,10568,5583,1299,1403,1418,771,609,1490,1076,1148,1704,1548,1201,631,994,1025,6165,1199,1466,1450,903,724,1227,1256,1360,1354,1294,1312,1109,1412,1326,5729,3214,970,1223,977,610,467,958,654,1042,966,825,631,453,402,173,3138,648,1029,960,670,300,641,590,684,791,701,548,431,488,289
"G160","2012",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1458371,727771,51798,54017,56329,30604,20041,48982,48581,48833,90269,92485,90037,58505,28013,9277,730600,49644,51592,54139,29122,19315,50121,46267,46598,87350,95717,91653,60202,32118,16762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20613,9340,117,686,849,244,211,1357,1373,726,1307,1510,713,247,0,0,11273,406,374,612,514,171,869,1379,628,2299,2009,1355,403,243,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",6843,3940,988,3509,3255,1435,1178,1434,1423,842,1536,1016,733,672,1277,1221,4339,1166,2890,3068,1004,1085,1874,1322,887,1865,1441,544,615,1661,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2789,1801,110,397,470,326,247,742,469,423,461,681,373,149,187,187,1497,246,249,313,411,158,551,497,328,661,543,518,248,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2012",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9358637,4611261,274202,281483,303574,184485,125995,310131,318584,314983,602492,690331,601698,350449,183920,68934,4747376,263705,274114,284362,174474,115082,299567,310275,308540,594413,698345,623837,398462,256845,145355,1853436,868109,62604,62872,71150,47312,34729,78011,61238,55810,111631,118223,90163,47261,21732,5373,985327,59456,63820,73499,46418,33650,79403,64307,65827,130142,135423,115697,65137,37285,15263,617924,298498,19147,19517,17921,11564,8149,22676,27427,27303,50701,36634,30035,19181,6199,2044,319426,17843,19701,17708,9998,6401,21302,28644,30147,56276,40484,37577,21362,8493,3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",24157,12927,3747,5801,6848,2047,2375,3224,3191,3276,4073,2976,2023,1473,3259,3048,13567,3330,6678,6135,2204,2312,2717,2777,2797,3088,2726,1939,1350,4049,4100,9027,5416,1548,3245,3732,1426,1305,2145,2051,2153,2182,2051,1040,894,942,867,5696,2004,3058,3155,1406,1716,2031,1549,1637,1632,1823,1181,1011,1748,1469,6059,3803,1472,1884,1631,815,878,1602,1215,1218,1781,1216,779,929,710,642,3569,1258,1940,1800,805,676,1215,1234,1050,1632,985,1088,746,966,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2012",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5513003,2715818,168149,175127,186249,113775,76729,198251,169529,172657,344817,400125,354985,212697,104584,38144,2797185,158311,169996,173325,105720,75998,189102,169301,169793,343545,404084,372063,239811,152921,73215,598171,285972,23043,25827,24580,14097,10788,24804,18809,21895,35940,37175,27346,13591,6398,1679,312199,24184,24095,24448,13952,10706,24364,21790,21535,42123,42226,32679,16652,9752,3693,107736,50824,2776,2862,3336,1772,1834,7489,5644,5127,7752,6131,3245,1937,890,29,56912,2839,3129,3394,1989,1771,7005,4896,5496,9346,7869,6064,1718,1151,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",9610,5555,1719,4693,4904,1400,2382,2590,1961,1362,1683,1480,1047,657,2292,2189,5854,1840,4978,5095,1279,2152,2347,1451,1109,1693,1421,1190,674,3387,3431,6855,4161,1836,2204,1999,1063,1003,1544,1001,1340,1684,1332,1080,734,801,443,3745,1438,1950,2259,785,1006,1139,1281,1000,1421,1393,1089,750,780,679,3733,2232,819,1040,775,554,603,981,972,1142,1284,1018,631,512,467,54,2425,865,875,830,632,534,1092,833,1086,1209,1224,1105,666,565,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2012",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2817947,1388761,85025,85653,95531,55241,39981,101447,87281,88630,164400,199478,187600,110861,64028,23605,1429186,82878,88089,84322,52704,40494,95893,84708,87848,162761,200036,189138,122567,87988,49760,91660,49548,4834,4398,4229,2040,1434,6123,4365,3225,7253,5696,4114,931,729,177,42112,3487,4486,3844,1922,1743,4004,2660,3742,5234,5001,3537,1406,709,337,56519,27662,1820,2424,1847,769,1102,4085,2568,2859,3997,3412,1375,1097,307,0,28857,1401,2601,1376,1306,1375,2965,3387,3254,5133,2713,1701,1098,196,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",5797,3878,1110,2802,2759,1110,1401,1673,951,1123,1446,1182,726,478,1582,1590,3496,1187,3039,3013,1165,1480,1514,933,1074,1349,904,645,580,2022,2015,3711,2369,625,981,975,686,544,1011,1083,690,1211,1031,702,309,304,147,2305,685,1068,1055,573,529,795,638,752,783,907,450,447,239,178,2205,1946,623,556,548,296,487,888,739,616,536,737,484,416,231,151,1439,476,693,406,483,607,700,720,503,734,608,424,411,167,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2012",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2468884,1223001,81617,84543,84357,49854,36775,90827,83175,80304,146637,168983,156365,89868,49148,20548,1245883,77592,80587,79683,46886,36278,81348,79566,78721,145198,172993,161078,99793,68714,37446,167414,85471,6577,6737,5743,3728,3394,8724,6936,5387,11860,11808,8595,3699,1948,335,81943,6993,5779,7746,3424,2734,5562,6320,5973,8642,11403,8447,4966,2838,1116,71821,34976,2919,2341,2278,658,1129,4444,3558,3216,5985,3884,2078,1901,492,93,36845,3250,2286,2424,1035,610,3432,3210,4098,6711,3437,4045,1481,723,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7141,3837,1281,3374,3264,999,2113,2146,1640,1246,1274,1310,602,640,1406,1404,4580,1276,3272,3125,1249,1790,1832,1049,1083,1128,1021,841,678,2017,2007,4128,3087,947,1191,950,846,850,1148,996,1036,1168,1079,709,596,370,194,2470,753,974,1170,665,505,1242,638,644,768,903,726,727,692,428,2664,1756,676,633,573,383,555,1011,886,412,582,494,405,514,304,112,1601,530,589,646,402,358,683,483,737,712,423,865,515,364,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2012",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3844617,1889866,116202,120568,125091,75100,50844,132013,119556,124286,249538,276993,248971,156074,73514,21116,1954751,110520,112306,119468,68344,50171,126848,118516,122478,250439,285118,265651,176365,101176,47351,344584,169137,13513,12014,13487,7943,7187,16271,12373,12263,22025,22729,18102,7465,3117,648,175447,13351,12921,12393,6864,6398,15009,11432,12537,21049,24698,20610,9798,6222,2165,55397,26168,2217,2493,2096,920,862,2101,2036,2224,5717,2421,2008,688,274,111,29229,1731,2667,2993,1048,550,1962,2426,3381,5113,3779,2059,781,500,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",5968,3922,1405,3885,3746,1400,2149,2343,1131,1067,1377,980,486,410,1314,1333,4180,1600,3855,3659,1410,2323,2494,1124,789,1325,675,677,609,2751,2700,6354,4298,1160,1896,1842,951,1048,1453,1423,1064,1463,1528,1119,731,545,362,3865,1620,1602,1690,757,933,1458,1348,1065,1240,1404,1081,843,766,458,3007,1805,585,717,603,322,481,563,327,566,849,555,475,267,171,99,1842,602,642,858,404,310,444,612,707,803,678,414,209,269,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2012",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2891506,1431105,86915,89171,90819,53041,37126,101201,100588,99236,181828,207455,188484,118059,57488,19694,1460401,83308,79055,89468,50825,37118,96206,97847,94004,177428,208931,196439,131985,82967,34820,1483239,706739,56187,60831,62767,34417,26672,62128,54011,47095,83190,90510,73784,35873,14983,4291,776500,57767,57503,58992,32602,25809,65498,58678,56226,92984,100628,87957,47155,24184,10517,72216,32029,1848,1987,2197,1139,950,3661,2623,3896,4518,3562,3441,1727,328,152,40187,3344,1565,3648,1587,705,3354,3849,3396,6436,5057,4093,1886,858,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",6690,4961,1530,3921,4253,1227,2107,2791,1994,1578,1968,2013,958,879,1785,1690,3761,1480,3523,3680,1191,2216,2036,1625,1083,1671,1164,1018,689,2216,1997,6017,4752,2008,2851,3086,1570,1517,2014,2390,1968,2764,2389,1296,1292,1162,1006,5373,2085,2859,2747,1582,1710,2259,2070,2028,2231,2096,1148,1518,1522,1174,2464,1748,483,484,613,423,568,833,598,951,1069,781,662,414,179,184,1708,760,552,930,645,378,842,567,558,1074,874,669,505,356,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2012",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1264328,618054,30882,37260,33589,23217,17624,37274,34700,34189,74977,99553,95366,59325,30226,9872,646274,29748,32393,33670,21899,16167,36316,34979,35521,78123,103512,100889,63821,39892,19344,13614,8416,847,1089,456,472,447,438,752,484,1104,1044,802,230,227,24,5198,457,603,287,159,553,690,423,264,789,572,211,54,136,0,14414,6603,374,553,337,614,538,571,446,527,1225,618,422,253,125,0,7811,536,641,581,323,170,571,602,844,1271,617,1041,474,140,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1246,925,390,2060,2115,298,770,844,397,295,391,382,315,183,1161,1152,1041,605,2076,1918,326,780,778,420,523,382,403,371,130,1542,1540,1648,1292,449,399,265,313,239,226,380,310,522,424,326,200,211,43,856,259,314,267,98,278,454,255,245,400,347,152,51,89,155,1392,1041,184,340,173,313,384,493,350,353,488,364,299,223,163,155,946,338,305,279,235,148,356,376,530,379,257,510,327,143,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2012",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3417690,1681280,92739,99217,97909,63845,45092,110673,114855,106204,208836,267586,235031,140479,69636,29178,1736410,87522,93656,93450,60604,40428,103756,110312,105162,211904,274933,245746,157467,97067,54403,1720936,803867,58676,60506,60469,38617,28252,66667,55697,53869,108032,120359,86675,42730,17846,5472,917069,56091,55164,60687,36964,25697,66324,64072,65477,129217,144373,111163,59142,30546,12152,339527,158766,9808,10093,10203,5719,3928,11988,11867,12810,27161,22826,17037,10203,4359,764,180761,9721,11639,10954,5592,3596,11099,13853,15913,32565,26541,20811,11417,5048,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",12404,7128,1773,3817,3663,806,1357,1965,1580,1731,2137,1578,1167,691,1530,1542,6640,1677,3546,3791,1059,1576,2013,1390,1331,2061,1608,1290,638,2579,2539,7404,4720,1412,3191,3229,1135,1383,1977,1795,1424,2131,1417,1167,851,1062,763,4592,1763,2864,3037,1227,1174,1929,1262,1331,1694,1427,926,934,1450,1195,4265,2825,781,1230,1086,540,535,763,869,922,1044,937,637,585,624,294,2460,916,1307,1304,597,676,1060,787,1060,1148,919,544,686,652,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2012",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5323896,2576633,133632,137918,158212,98348,79924,173964,174022,158121,324906,411171,357157,211614,112535,45109,2747263,123913,134569,151155,94148,81268,172495,175844,159940,335869,429357,387150,243828,154011,103716,473527,226238,18091,20953,16447,11068,8695,21684,16989,15620,32149,29233,20523,9753,3687,1346,247289,18291,18164,16285,11980,9376,21842,18809,16862,34542,33732,23860,12945,7606,2995,381262,180954,11913,12003,11242,5789,6553,16454,17851,17316,32214,21948,15069,7801,4118,683,200308,12306,13264,10911,7072,7731,18014,20219,19286,34720,24361,16823,8740,4317,2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",12317,7424,1760,5034,5126,1217,1739,2196,1881,1854,2120,1833,1137,722,2765,2772,6934,2059,4107,4530,1169,1370,1850,1705,1988,2207,1533,1171,977,3278,3170,7935,4693,1298,2166,1904,967,988,1467,923,1106,1628,1367,937,639,605,463,4605,1208,2040,1946,1013,1051,1346,1071,949,1630,1208,914,608,952,792,3962,2236,842,1315,1297,672,949,994,774,653,997,901,582,670,691,295,2479,830,1354,1403,669,906,1046,936,783,1016,1031,462,542,898,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2012",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7840426,3866867,208262,232338,252938,158756,108313,270599,231540,227805,478233,596660,545938,328481,167028,59976,3973559,200234,219230,240690,150397,101629,261478,222875,227261,472993,603581,567101,359731,225395,120964,1388360,660469,49420,50018,53561,36007,25477,61264,43353,40466,86587,85874,72315,35265,15323,5539,727891,47856,49314,49624,32714,24456,61644,45863,44384,98362,98984,88880,46868,25915,13027,248093,118263,7609,8633,8861,4692,6574,9834,8826,9843,21015,14166,9590,5586,2313,721,129830,6800,8252,9765,5510,5538,10181,10280,10885,22931,17846,11911,6206,2692,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",8758,5170,1395,5052,5218,1208,1299,1554,1391,1447,1849,1382,1104,654,2592,2528,4934,1520,4995,4911,1229,1517,2018,1376,1368,1523,1554,806,817,3481,3378,7531,4736,1714,2614,2687,1255,962,1366,1253,1340,1596,1377,908,751,995,844,4556,1503,2995,2651,930,1118,1819,919,1115,1322,1261,885,854,1098,1221,4128,2628,856,1098,1162,748,1162,992,904,720,1071,1127,633,631,566,449,2208,751,1036,988,690,931,927,942,819,1011,1094,716,471,636,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2012",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4596694,2275855,134635,144229,140900,87554,59538,145497,152575,154638,282116,353388,311610,178034,94775,36366,2320839,129548,138570,133032,84285,59452,139348,148457,148135,278711,357192,314815,193652,123567,72075,287165,147238,14973,14384,13118,7081,5092,12358,13203,13044,21011,17125,10641,3440,1281,487,139927,13047,13045,13173,6672,4889,13049,12899,11740,19354,15901,9545,4444,1548,621,226902,110525,8510,9994,8593,5787,4001,11856,10824,10086,18171,11134,6754,2966,1576,273,116377,9402,9555,8586,5402,4423,10102,12191,12268,18050,11509,8081,4241,1401,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",6789,4401,1284,3343,3347,644,793,1114,1010,1056,1535,986,830,666,2110,2055,4040,1309,3872,3576,970,1003,1299,1055,1088,1444,1052,674,487,2662,2611,5702,3584,1022,1611,1692,765,868,1211,1562,1134,1110,983,721,435,453,315,3438,1386,1682,1423,710,688,846,897,945,970,914,760,378,336,342,3537,2234,803,1025,951,721,600,736,742,721,974,886,534,436,342,223,2414,679,1209,1131,535,607,766,700,809,943,800,752,542,489,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2012",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1768736,871111,49550,56017,57787,34451,28190,58909,50560,53570,113078,123672,115018,80038,39724,10547,897625,49941,53347,53752,29350,24741,59863,50389,53184,107545,124804,121513,89786,54810,24600,1123620,525635,46109,46000,46708,26871,23039,47266,33605,35177,64497,62269,54963,25761,9765,3605,597985,45465,46200,44950,26884,23462,48937,40886,41750,78510,76158,65771,33492,16570,8950,23923,10336,262,1083,627,418,272,1453,565,1006,1944,1365,982,239,87,33,13587,671,653,883,288,315,1305,1469,1200,1736,2779,1027,364,840,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4408,4007,1518,2992,2897,1428,2846,2939,1984,1795,2261,1270,634,530,1416,1356,3770,1723,2430,2539,1472,2392,2824,1645,1735,2243,1286,622,456,2013,1927,5037,3713,2047,3222,2656,1351,2425,2689,1951,2179,2523,1879,1069,1425,1055,611,3939,1943,3227,2910,1484,2189,2438,1862,1473,1973,1691,1193,1253,1262,1017,2452,1346,187,425,309,282,205,623,378,478,762,481,505,235,117,56,1659,449,372,516,269,292,724,702,615,591,783,474,269,653,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2012",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",4981999,2451915,147329,157065,157905,97424,67829,166812,162740,159405,300686,361162,323133,206556,106686,37183,2530084,138562,144427,152267,91325,64903,163913,160524,157465,298871,367172,341972,231375,145116,72192,691631,328376,24567,27595,28734,16770,14747,29216,23627,21794,39155,44370,31665,16304,7882,1950,363255,23085,27170,25622,16296,12195,30044,25896,25543,46247,49028,41934,21772,13836,4587,102180,48107,3066,4348,2863,1854,1732,4717,4631,4461,9269,5245,3257,1789,741,134,54073,2747,3819,2906,1557,890,5107,4887,6386,9827,6582,5138,2596,1128,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6489,4613,1571,4793,4709,1526,2183,2664,1612,1215,1414,1186,1049,636,2307,2271,4567,1365,4283,4418,1524,1723,2338,1385,1123,1560,1336,894,577,3195,3164,5818,3831,1851,2332,2096,1147,1279,1469,1467,1108,1626,1407,905,849,900,490,4064,1851,2159,1754,1110,899,1386,1415,1188,1496,1331,996,807,1197,1052,3291,2089,616,968,787,903,587,849,833,923,1006,889,615,286,308,127,2027,654,863,900,415,379,890,911,888,1145,867,826,428,344,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2012",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",896467,450598,24694,29032,24010,16630,12361,31397,28563,28072,52395,63425,68840,42919,21264,6996,445869,23906,25268,24833,15336,10028,29993,26107,26342,49838,64635,69393,42473,23938,13779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1819,1427,396,1782,1882,551,1085,1022,688,537,907,496,366,203,865,867,1379,479,1892,1735,538,761,923,418,414,555,365,516,349,1251,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2012",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1634952,810916,56814,54578,53702,32261,21590,59315,55435,54254,96912,113247,105311,59983,34468,13046,824036,50994,51921,53062,29343,22656,55095,53633,52705,95282,113611,107270,65599,47109,25756,85483,44372,4074,5094,3063,2450,1615,3829,3398,3037,5944,5759,3631,1519,767,192,41111,3901,4480,3323,2132,1224,2871,2953,3084,4887,5438,3352,2127,928,411,36670,17563,1352,1610,781,580,705,1649,1999,1166,3778,1556,1203,884,248,52,19107,1123,1411,1517,608,1025,1467,1866,1548,3528,1876,2044,610,484,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",5242,3143,1165,2174,2247,615,1143,1544,1043,1177,1480,898,690,486,1203,1152,2888,1157,2238,2277,780,1099,1635,1115,969,1180,783,644,403,1591,1635,3465,1794,472,884,800,338,408,484,582,454,901,712,391,190,216,100,2142,537,938,781,484,248,581,333,419,645,396,408,275,263,232,1809,1093,234,393,321,324,322,460,231,317,634,429,335,310,163,82,1138,179,450,436,306,488,426,346,268,545,370,411,262,273,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2012",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1922203,981953,59237,61088,57223,36219,21667,61950,67220,67881,135524,142501,128720,90485,41786,10452,940250,55000,55590,56023,33180,19549,57753,63324,62653,124045,130859,129516,89806,44496,18456,227696,115035,8128,8311,8477,5628,3674,10449,8440,8813,15964,16486,11246,6216,2586,617,112661,8599,7821,8962,3914,3662,9618,8693,7905,15405,14846,11642,7258,2610,1726,207736,92507,4712,5682,5866,3611,2428,5999,6558,7833,15029,13638,11003,6832,2825,491,115229,4345,5614,6130,4114,2015,7373,7917,9393,19081,17783,16597,9473,4282,1112,18441,9701,928,778,1101,289,0,518,1385,879,1782,942,762,310,27,0,8740,449,721,458,353,73,629,1036,1452,1705,382,885,518,79,0,"Nevada",12400,6479,2093,3539,3360,1199,1238,1846,1862,1949,2225,1736,1278,690,1442,1199,7473,1726,2917,3158,1581,936,1523,1549,1533,2225,1654,1242,913,1814,1562,4251,2364,1042,1414,1239,443,472,634,570,764,865,716,522,232,424,363,2839,936,1549,1246,739,479,958,673,707,724,824,728,352,592,562,5128,3064,1145,839,1083,485,462,868,907,409,725,548,407,431,392,266,2675,709,1091,1182,299,524,676,967,621,797,749,524,806,445,454,1715,906,354,602,591,157,200,493,674,643,738,193,387,254,52,200,1203,341,341,317,185,112,458,475,640,515,246,436,356,100,200
"G330","2012",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1241905,611419,30089,34652,37748,25054,17812,41001,35486,33438,77008,103976,90282,51654,24364,8855,630486,28769,31681,37542,23650,19264,38391,33601,33834,79142,106751,92810,55314,33947,15790,16515,8241,447,311,651,720,295,673,1255,291,1299,1281,691,242,85,0,8274,257,1142,728,209,821,1011,547,513,954,744,1252,48,48,0,29743,12618,693,1251,719,385,202,381,971,1090,3535,1607,935,577,272,0,17125,940,1226,1016,732,1034,1425,1154,1762,2870,1971,1682,564,422,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",2511,1555,477,1851,1848,584,513,589,618,486,759,533,317,252,1145,1178,1917,451,2239,2118,499,880,1129,480,430,716,568,309,315,1635,1552,2631,1621,320,362,427,718,266,413,669,337,621,711,377,205,140,181,1680,274,588,484,180,596,413,462,385,507,400,490,70,98,181,1915,1347,264,483,339,325,254,263,423,356,700,633,371,538,238,181,1404,344,500,477,366,744,645,389,505,636,510,621,339,301,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
