GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AE1JE001,AE1JE002,AE1JE003,AE1JE004,AE1JE005,AE1JE006,AE1JE007,AE1JE008,AE1JE009,AE1JE010,AE1JE011,AE1JE012,AE1JE013,AE1JE014,AE1JE015,AE1JE016,AE1JE017,AE1JE018,AE1JE019,AE1JE020,AE1JE021,AE1JE022,AE1JE023,AE1JE024,AE1JE025,AE1JE026,AE1JE027,AE1JE028,AE1JE029,AE1JE030,AE1JE031,AE1LE001,AE1LE002,AE1LE003,AE1LE004,AE1LE005,AE1LE006,AE1LE007,AE1LE008,AE1LE009,AE1LE010,AE1LE011,AE1LE012,AE1LE013,AE1LE014,AE1LE015,AE1LE016,AE1LE017,AE1LE018,AE1LE019,AE1LE020,AE1LE021,AE1LE022,AE1LE023,AE1LE024,AE1LE025,AE1LE026,AE1LE027,AE1LE028,AE1LE029,AE1LE030,AE1LE031,AE1PE001,AE1PE002,AE1PE003,AE1PE004,AE1PE005,AE1PE006,AE1PE007,AE1PE008,AE1PE009,AE1PE010,AE1PE011,AE1PE012,AE1PE013,AE1PE014,AE1PE015,AE1PE016,AE1PE017,AE1PE018,AE1PE019,AE1PE020,AE1PE021,AE1PE022,AE1PE023,AE1PE024,AE1PE025,AE1PE026,AE1PE027,AE1PE028,AE1PE029,AE1PE030,AE1PE031,AE1RE001,AE1RE002,AE1RE003,AE1RE004,AE1RE005,AE1RE006,AE1RE007,AE1RE008,AE1RE009,AE1RE010,AE1RE011,AE1RE012,AE1RE013,AE1RE014,AE1RE015,AE1RE016,AE1RE017,AE1RE018,AE1RE019,AE1RE020,AE1RE021,AE1RE022,AE1RE023,AE1RE024,AE1RE025,AE1RE026,AE1RE027,AE1RE028,AE1RE029,AE1RE030,AE1RE031,NAME_M,AE1JM001,AE1JM002,AE1JM003,AE1JM004,AE1JM005,AE1JM006,AE1JM007,AE1JM008,AE1JM009,AE1JM010,AE1JM011,AE1JM012,AE1JM013,AE1JM014,AE1JM015,AE1JM016,AE1JM017,AE1JM018,AE1JM019,AE1JM020,AE1JM021,AE1JM022,AE1JM023,AE1JM024,AE1JM025,AE1JM026,AE1JM027,AE1JM028,AE1JM029,AE1JM030,AE1JM031,AE1LM001,AE1LM002,AE1LM003,AE1LM004,AE1LM005,AE1LM006,AE1LM007,AE1LM008,AE1LM009,AE1LM010,AE1LM011,AE1LM012,AE1LM013,AE1LM014,AE1LM015,AE1LM016,AE1LM017,AE1LM018,AE1LM019,AE1LM020,AE1LM021,AE1LM022,AE1LM023,AE1LM024,AE1LM025,AE1LM026,AE1LM027,AE1LM028,AE1LM029,AE1LM030,AE1LM031,AE1PM001,AE1PM002,AE1PM003,AE1PM004,AE1PM005,AE1PM006,AE1PM007,AE1PM008,AE1PM009,AE1PM010,AE1PM011,AE1PM012,AE1PM013,AE1PM014,AE1PM015,AE1PM016,AE1PM017,AE1PM018,AE1PM019,AE1PM020,AE1PM021,AE1PM022,AE1PM023,AE1PM024,AE1PM025,AE1PM026,AE1PM027,AE1PM028,AE1PM029,AE1PM030,AE1PM031,AE1RM001,AE1RM002,AE1RM003,AE1RM004,AE1RM005,AE1RM006,AE1RM007,AE1RM008,AE1RM009,AE1RM010,AE1RM011,AE1RM012,AE1RM013,AE1RM014,AE1RM015,AE1RM016,AE1RM017,AE1RM018,AE1RM019,AE1RM020,AE1RM021,AE1RM022,AE1RM023,AE1RM024,AE1RM025,AE1RM026,AE1RM027,AE1RM028,AE1RM029,AE1RM030,AE1RM031
"G130","2016",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",6054861,3000534,169890,186208,200980,119504,86405,199451,195978,188213,387541,432369,391030,285109,122690,35166,3054327,165107,172156,185781,112518,80546,180221,192690,189906,384347,427524,415390,318633,161215,68293,3254495,1517738,112121,121410,121797,75655,54358,127385,121754,104057,201935,197495,157663,86422,29611,6075,1736757,109030,124099,120492,74440,48469,130284,135845,122830,251954,232203,196768,121718,50771,17854,398897,191940,13626,11725,12706,6282,5998,15412,15292,17699,32857,26559,18439,9400,4967,978,206957,10546,11990,13868,7383,5433,12917,16005,19262,41094,29588,20729,12220,4493,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",18041,10797,3558,6994,5698,3523,3770,4082,2627,3005,4273,3437,1955,1787,2690,2238,10981,2677,6386,6162,3482,4355,4662,3060,3111,4373,2722,2078,1498,3508,3467,14771,8066,3433,5549,5710,2629,3215,3814,2973,3850,4975,3926,2086,2089,1531,1000,10574,3600,6431,6317,2269,2458,3541,3459,3157,4837,3778,1846,2346,2767,1935,6597,4754,2023,1690,1675,926,1191,1395,1141,1190,1493,1415,1379,979,936,667,4447,1073,1574,1567,952,1157,1282,1054,1338,1770,1548,1246,1538,1068,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2016",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",357994,192504,10286,7586,7295,3544,2772,17328,16110,16395,25150,23903,27885,23384,7934,2932,165490,9322,8494,6429,3073,2791,10739,12605,13124,20906,18903,25827,20908,7705,4664,25898,16943,1283,537,265,506,429,2617,2652,1614,2544,2212,1534,680,33,37,8955,321,606,461,360,430,1241,1209,1108,1285,1127,668,26,113,0,543448,251958,9861,10728,11703,7962,4966,14982,14588,15164,30851,35817,39603,30594,17134,8005,291490,9290,8258,13476,7039,5561,12906,15051,15440,38624,40885,46724,36222,23198,18816,144568,72738,4368,6235,6454,3476,2585,5288,6340,5092,9885,8503,7152,4908,1769,683,71830,5059,5638,5720,3631,1827,5103,5535,4836,10149,8957,7176,5175,1784,1240,"Hawaii",5134,3251,1304,1254,1267,717,836,1234,892,801,1025,481,516,359,826,775,2706,935,1084,1182,556,594,804,684,698,927,570,530,302,831,861,2036,1483,562,301,241,429,317,545,447,345,569,430,527,273,54,61,1254,261,463,425,372,338,600,301,391,459,503,415,46,134,185,10631,6804,1290,1827,1620,1042,733,1359,1448,1339,1750,1491,1146,946,1182,1054,5138,1219,1598,2077,710,1205,1146,1502,1351,1604,1752,1083,955,1462,1274,6675,4429,946,1318,1366,421,496,1060,1042,872,1168,752,832,591,446,478,3008,778,1240,949,561,479,596,512,566,779,800,710,502,523,651
"G160","2016",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1510119,755100,48439,56453,54509,34395,20485,49821,48826,49249,93275,89960,94295,71569,32180,11644,755019,46657,53373,50183,30474,20000,44731,49130,48525,92180,90281,99533,75843,37736,16373,11437,6969,471,531,492,561,299,621,1397,397,702,923,494,0,81,0,4468,424,474,1090,306,422,668,195,0,449,157,237,17,29,0,24406,9900,690,897,534,332,127,666,1205,624,1431,1299,901,1019,124,51,14506,397,656,1468,703,1171,1114,1417,960,2175,1626,1177,1372,204,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",7573,4229,1136,2741,2754,1444,1653,1801,1235,1385,1927,1415,723,570,1534,1489,4406,1098,3102,3140,1514,1503,1751,1472,1767,1944,1239,1071,845,1820,1572,2001,1362,400,436,315,534,280,387,929,391,518,584,425,198,136,198,1450,326,344,813,274,393,695,239,198,483,181,325,28,57,198,2239,1463,489,467,387,353,88,510,470,420,633,594,539,539,191,92,1529,348,454,767,449,585,755,742,465,637,589,469,496,212,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2016",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9123763,4504629,253156,271012,278994,173716,115276,290425,307074,307363,577407,632532,633669,402188,190489,71328,4619134,242366,251494,267537,167600,108952,281994,293902,301835,563105,633132,654521,452898,249355,150443,1813477,854415,59736,62394,63371,40754,29388,78195,68190,56399,106339,107030,98235,53479,23768,7137,959062,57526,58575,61918,42446,28339,76507,71147,61776,120938,126932,120662,76058,39379,16859,684783,330806,20170,21835,19125,12280,8927,23681,28732,31611,53992,42779,32200,23247,9879,2348,353977,17991,18942,21170,10993,8529,22715,28918,32208,60681,48505,39107,26800,13338,4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",24574,13681,3608,6972,6887,2567,2405,3241,2505,3001,4334,3481,2456,1427,2874,2640,14007,3114,6839,6601,2482,2744,3338,2957,2464,3802,2858,2501,1723,5095,5026,9631,6587,2388,3152,3239,1283,1644,2773,1781,1811,2347,1912,1374,928,1210,1068,5821,1841,3470,3166,1647,1422,2394,1891,1604,2086,1710,1148,1098,1562,1497,5820,3522,1345,1748,1652,917,1086,1531,1455,1349,1592,1405,846,628,663,551,3805,1304,1685,2203,674,1001,1436,1134,1213,1617,1536,791,1043,1693,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2016",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5536418,2728970,164405,170400,177654,114404,76618,192364,178805,170990,336780,372305,375497,246370,114267,38111,2807448,158659,167788,163042,104713,72425,185020,176699,168774,338722,372834,391801,277051,153182,76738,617745,298466,24154,26324,26040,15914,9462,27756,22473,18806,36296,36267,29674,16006,7061,2233,319279,20808,26198,22644,15129,10612,22508,24524,21077,42354,39863,37344,21242,10285,4691,141451,69647,4785,5137,3731,1659,3542,11404,5834,7988,10265,7127,4798,2525,721,131,71804,4970,3478,5094,2770,3734,7190,7164,5920,11380,8111,6258,4132,1269,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",10307,5486,1642,5003,4923,1321,2526,2695,1682,1792,1809,1719,1249,1083,2267,2203,6685,2272,5495,4756,1898,2123,2906,2122,1635,2318,1753,1112,966,3133,3034,7312,4411,1560,2472,2617,1511,1319,2138,1782,1690,1966,1586,1135,961,723,667,5513,1824,2541,2582,1113,1358,1822,1501,1283,1602,1455,1086,793,1035,783,4471,2348,1076,1075,981,630,880,1356,1161,1384,1436,1313,948,787,387,190,3203,935,898,1099,869,803,1000,1088,1248,1509,1093,992,1212,623,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2016",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2834162,1404537,85412,91645,89098,54972,44623,97781,84168,90803,166501,181509,196735,130948,64531,25811,1429625,80598,82943,87717,51499,38831,95547,83617,87459,162849,179354,201152,141219,85498,51342,111867,60028,6215,4777,5688,2442,3058,6686,5115,4680,7191,7779,3711,1704,765,217,51839,4574,5650,4099,2193,2987,3948,4672,3986,7707,4993,3826,1898,920,386,74805,36382,2375,3300,2355,899,1517,3352,5549,3402,6414,3588,2090,899,492,150,38423,2831,2149,2344,1431,2585,5097,3328,3357,6502,3624,2887,1459,678,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",5131,3477,1174,3223,2978,1015,2162,2267,950,1132,1371,1297,800,493,2020,2011,3248,1347,3013,2914,1100,1644,1997,1201,1163,1270,1016,859,489,1995,1957,3477,2454,1091,1047,984,673,749,1338,1012,989,1155,1143,594,471,353,182,2418,836,1185,1001,635,1020,1131,1033,860,1245,1291,635,459,370,268,2572,1612,592,980,674,497,613,880,1196,896,1154,651,545,438,284,172,1997,573,618,545,489,887,783,1052,616,1135,802,542,531,331,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2016",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2458966,1221221,80993,84510,78826,49370,37117,87727,77178,81125,150086,150816,162356,108687,51889,20541,1237745,74367,77668,79835,44550,34749,79009,76532,78565,144018,152974,171933,117152,67532,38861,166551,86644,6340,6319,6213,3075,2848,9577,7457,6700,10327,10736,9179,5367,1918,588,79907,7216,5130,4996,3989,2212,6517,5407,5249,9797,10028,9951,5585,1648,2182,79741,38742,2499,2059,2641,1138,1323,5434,2980,3667,6943,4066,3850,1634,469,39,40999,2145,1499,2946,1618,931,4520,2878,4311,7017,5603,4117,2358,818,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7467,5464,2032,3334,3018,1664,2169,2415,1697,1162,1689,1518,1044,904,1682,1560,4262,1563,3517,3316,1652,1700,2049,1376,1147,1481,1356,738,847,1969,2105,4607,3132,1148,1425,1240,792,879,1627,967,1271,1054,1177,735,710,394,365,3175,1412,1053,1100,815,783,1154,805,766,1115,987,813,694,422,507,3466,2141,511,655,781,402,707,1395,976,729,1268,590,871,448,214,69,2234,560,486,722,493,438,956,628,690,876,974,525,521,371,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2016",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3866333,1897330,114150,115474,120847,74654,52116,130981,124380,118528,242225,261954,258464,179733,78011,25813,1969003,110505,111107,116081,71807,53666,120466,123279,115732,242910,269466,276920,201828,109157,46079,366157,180582,12190,14264,13313,9535,7072,18282,13134,12041,23285,22317,19592,10341,4392,824,185575,11685,14380,13562,7430,7023,14357,12836,13783,22758,24354,22536,12490,6047,2334,61311,28272,2200,2386,1883,1869,1151,1935,2778,3142,4463,3232,1905,998,271,59,33039,2024,1698,1863,946,1450,2126,4135,2484,6576,4275,2948,1690,590,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",6634,4946,1843,4449,4252,1697,2780,3274,1576,1555,1690,1362,764,440,2144,2043,3492,1830,3858,4156,1662,3302,3274,1091,1308,1714,1124,1056,519,2840,2843,6162,4023,1336,1589,1719,957,1219,1812,1222,1242,1726,1650,920,932,755,459,4383,1312,1538,1597,1084,1136,1449,1205,1772,1616,1625,1591,919,906,654,2866,1808,572,720,488,640,645,747,765,708,532,553,517,436,218,93,1777,646,581,608,419,563,639,968,527,929,709,758,588,334,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2016",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2901495,1433535,88767,86704,87521,53213,34266,94681,100664,100902,181794,189585,196308,135991,63195,19944,1467960,81662,79698,84930,51991,35654,84636,102064,99386,178814,190490,205468,151934,81634,39599,1514755,721926,51749,56839,64807,36519,26333,57339,57704,49625,88690,85387,80476,45020,17200,4238,792829,57150,56805,55884,32921,23758,63880,58222,55667,102022,93935,95182,59737,26687,10979,77921,37668,1932,2148,1793,898,904,3835,4033,3828,5461,5059,4152,2500,803,322,40253,2973,1901,2670,1630,747,2888,3671,3254,6250,5643,4710,2554,794,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",5946,4610,2681,3750,3654,1461,2261,2711,2181,2123,2332,1928,1019,1094,1771,1699,4100,2151,3327,3368,1436,2263,2292,2060,1723,2141,1614,1344,857,2408,2219,7221,4533,2515,3179,3301,2359,2598,3168,2527,2921,3795,3081,1564,1528,1478,779,5764,2773,4564,4327,2361,1997,2436,2158,2325,2956,2750,1260,1442,1401,1220,2506,1846,561,836,674,502,369,1481,1149,951,982,1168,676,827,355,248,2165,871,791,908,627,520,872,903,674,1128,1155,635,670,361,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2016",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1257120,614633,29837,32722,32883,21774,15645,36550,37219,35543,69958,89386,98750,71619,28843,13904,642487,28140,32913,29888,21134,15464,33288,36709,36251,72044,93211,105674,77088,39879,20804,19963,10822,881,1490,453,724,653,1298,1024,781,1871,842,580,225,0,0,9141,1089,1287,1412,684,932,804,318,503,1153,922,0,33,4,0,17499,7053,553,350,520,320,514,261,440,1034,1277,961,334,432,57,0,10446,0,603,644,509,483,488,1642,617,2064,1450,1007,544,157,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1699,1239,579,2017,2037,343,597,891,387,247,512,368,254,270,1513,1496,1420,489,2062,2129,546,919,976,481,315,521,259,326,302,1767,1735,1930,1462,530,644,204,402,348,673,647,418,749,468,398,246,172,172,1209,429,562,696,434,398,330,307,426,462,480,172,59,8,172,1510,1064,389,284,395,284,254,188,366,708,663,459,233,287,80,172,1180,172,345,310,295,288,279,897,428,534,599,442,367,193,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2016",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3397255,1665633,89662,95647,95056,60550,42524,105216,112823,112586,197411,244631,244177,161539,73476,30335,1731622,89689,87200,96643,59608,39570,99544,107931,109458,201515,250301,255207,180857,96817,57282,1793593,840240,55909,58935,62896,38654,24999,64482,66225,56718,110196,119674,97632,56053,22315,5552,953353,52625,62993,55216,37099,23437,65023,71222,67618,126555,139900,125389,77712,36682,11882,376518,180705,10610,11090,11269,7540,4396,12278,13378,13549,29888,25492,20245,13413,6185,1372,195813,8648,9447,11288,5517,3847,12106,14585,16841,33940,30503,24183,15302,7263,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",13132,7651,1947,3758,3205,1073,1429,2282,1696,2035,2420,2243,1355,709,1878,1862,7070,1901,3855,3545,1043,1504,2073,1379,1349,2269,2038,1385,1002,2924,2772,9302,4650,1636,3299,3328,1259,1627,1837,1914,1868,2004,1893,1038,1297,1320,1039,6385,1763,3102,3337,1193,771,2076,1885,1654,1902,1625,1249,1175,1489,1317,4946,3617,1133,1335,1311,1040,975,1330,671,1064,1041,918,657,767,590,494,2858,899,1386,1478,666,608,1076,675,949,958,1046,778,866,746,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2016",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5350175,2588218,126759,126365,154587,96369,76668,181035,178632,170455,300955,381769,380205,252310,115274,46835,2761957,122717,128069,138575,91887,78026,186917,174951,172455,312855,400410,409905,290575,157737,96878,506677,247288,17447,19140,18768,10858,7756,24598,19374,19118,33044,31895,25371,13058,5190,1671,259389,15650,16381,18978,11064,8694,21228,21077,18933,36032,33634,28738,16692,9389,2899,440845,212224,13901,15079,12891,6610,6840,17880,22244,20245,33255,27673,18025,10640,5842,1099,228621,12264,11573,12807,7923,9985,18641,22715,23016,39416,29210,20100,12749,6280,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",16114,9359,2088,4462,4717,1428,1789,2558,2422,2022,2725,2157,1726,1040,2333,2354,8554,2138,4601,4145,1681,1127,1884,2045,1645,2854,2241,1850,953,3181,3228,8067,5786,1824,1948,2319,990,1034,1876,1559,1662,1482,1413,1153,818,733,720,5549,1844,1913,1952,1035,1075,1610,1539,1273,1411,1229,1023,884,1009,814,5571,3136,1117,1423,1365,599,707,1181,770,962,1129,922,800,623,710,545,3388,766,1318,1386,860,1224,1378,926,873,1082,999,663,790,816,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2016",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7793481,3851724,207554,219727,232091,151160,102561,267237,248717,231055,448327,543007,573462,386364,175109,65353,3941757,199116,209129,221311,145062,98175,250887,238422,225191,443383,546029,598018,419161,227433,120440,1363336,645034,47362,47320,49362,32327,19346,58470,52497,40144,76956,82149,73344,43669,15603,6485,718302,46659,47555,45440,30692,19861,57798,54363,44194,89730,94550,89735,56367,27100,14258,292514,142932,7603,8441,9166,5059,6748,15596,12869,12067,22851,19019,12179,7465,2927,942,149582,8189,9024,9185,6044,5561,12375,12491,11957,25988,21181,13688,9254,3350,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",10297,5837,1725,4489,4459,1595,1718,1857,1612,1361,2057,1464,1007,744,2716,2829,5718,1826,5108,5175,1672,1490,1840,1349,1295,2052,1492,1295,772,4294,4248,9361,4971,1646,3225,3232,1111,1385,2090,2027,1325,1950,1588,1131,921,1114,1037,5925,1751,3114,2930,1549,1196,2161,1557,1210,1476,1570,932,910,1670,1426,4773,2588,717,1110,1068,743,1180,1650,769,875,1104,946,783,592,516,351,3275,849,1217,1162,810,665,1074,922,804,1045,999,922,807,691,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2016",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4596566,2282256,131856,136213,137352,86038,56267,144457,145446,155422,280640,317367,335882,213389,100359,41568,2314310,124970,130956,128892,80933,53628,142552,137544,150596,270852,318549,342715,228598,127426,76099,331308,167669,17539,16635,14947,7644,4714,13984,16073,13904,23632,17799,13778,5249,1093,678,163639,14917,17894,15240,9384,5521,12849,13148,12630,23960,16252,12095,6283,2134,1332,258899,127119,10270,11338,10128,6366,3466,12528,13348,12421,19900,12812,8381,4089,1611,461,131780,9272,10481,9437,6022,4120,10908,14694,14016,20678,14358,9636,5148,2432,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",6383,4209,1234,3580,3782,1169,1442,1473,1374,998,1314,1522,1090,607,1795,1779,4026,1285,3142,3081,990,1364,1773,1215,1120,1519,1274,997,403,3186,3188,5844,3881,1728,1723,1690,805,970,1685,1407,1412,1567,987,1255,580,324,338,3664,1074,1872,1928,1046,769,1521,1100,1011,1582,1311,1036,731,624,510,4686,2872,984,1171,1244,758,657,1235,742,561,1018,722,683,550,388,280,3292,1037,1301,1228,697,732,1061,1025,933,925,756,656,557,439,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2016",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1748734,860987,49912,55597,53132,32534,26768,57744,51786,51163,106230,115523,116437,90455,42161,11545,887747,45323,50714,54104,32033,24926,50806,53305,52803,105510,114390,123125,98533,54966,27209,1134958,529098,39463,43250,45952,26428,20493,46465,38442,32554,67396,60397,59304,34828,11215,2911,605860,42476,44897,42538,26703,22030,47957,41237,39556,83215,73003,72187,42609,18477,8975,26708,10347,725,623,657,324,188,996,951,1104,1864,1363,970,521,61,0,16361,1091,939,1333,632,118,553,1465,1897,2823,1959,2151,802,570,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4269,4015,2261,3104,3091,1824,2550,2729,2009,1971,2086,1635,684,792,1597,1388,3838,1958,3219,2997,1661,2745,2722,1682,2339,2354,1404,597,707,1793,1843,6466,5120,2300,2988,2910,1812,2601,3231,2899,2799,3242,3086,1611,1776,1422,828,5225,2414,2953,2931,2164,2300,2676,2225,2567,2971,2200,1253,1456,1619,1251,2267,1490,398,356,348,335,180,477,668,767,766,747,512,371,74,213,1880,536,504,562,469,121,394,1149,1145,724,808,700,545,408,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2016",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",5011507,2470151,145751,152589,154813,95376,67759,164097,160808,163363,300856,330557,344032,236113,111590,42447,2541356,135974,141978,149302,91880,65997,152843,160110,159499,299454,333942,363151,262341,151123,73762,702946,336447,27113,26378,24844,15894,12537,30063,29239,21697,40088,41726,36920,20259,7171,2518,366499,24592,23698,25098,16043,11826,26949,28186,23368,48139,48122,44567,26531,13485,5895,117335,54953,2601,4166,3903,2072,2383,5404,5463,4397,9533,7431,4294,2036,987,283,62382,2993,3541,3456,2171,2160,4897,6301,5899,10544,8596,6416,3866,1303,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6627,4146,1857,4754,4610,1475,2423,2652,1607,1546,2128,1800,964,948,2589,2550,4440,1877,4258,4184,1665,2201,2421,1288,1294,1720,1262,927,682,3478,3389,7236,4768,1699,2706,2253,1057,1273,1731,2137,1594,1702,1525,1241,1066,697,603,5061,1979,2643,2374,1039,1181,1807,1609,1065,1530,1571,1000,955,990,850,3722,2801,783,1011,991,857,805,1025,963,697,1192,1083,640,617,446,224,2376,857,922,742,534,739,1043,899,807,1090,1185,916,758,446,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2016",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",927374,468373,26315,26300,27667,17539,11223,34476,28053,28359,55886,57871,70146,52750,23384,8404,459001,24788,25333,25548,14234,10985,30603,26580,28308,51221,57430,72387,51677,27121,12786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8432,2693,66,107,495,296,96,151,416,127,567,299,58,0,0,15,5739,0,23,362,165,555,790,270,617,608,1275,706,288,39,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1791,1905,877,1752,1725,740,1066,1446,977,608,879,918,629,356,1017,1028,1522,874,1870,1834,476,1143,1288,872,618,546,642,559,232,1444,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383,808,108,123,454,224,75,126,293,165,407,363,129,168,168,27,1253,168,36,211,150,447,549,223,462,371,711,401,271,72,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2016",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1674863,834050,54633,54136,59661,32707,22953,57432,53836,57355,104618,103675,110992,72163,35000,14889,840813,52432,55726,51577,30899,21889,56045,50837,55300,100997,102006,113425,77800,46305,25575,89879,46013,3933,4289,3869,2373,1567,4327,4421,3644,5488,4722,4523,1898,700,259,43866,3416,4286,3616,2027,1547,3754,4020,3603,4966,4644,4120,2266,1391,210,41548,19481,1498,1688,1176,559,577,2769,1899,2074,2752,2256,1126,683,242,182,22067,1602,1940,1715,854,809,2574,1512,1948,3678,2050,1804,1272,176,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",6044,4025,1337,2469,2437,1093,1136,1566,1152,1236,1682,1255,1059,626,1233,1309,3586,1209,2475,2456,913,1218,1404,1164,978,1892,1227,876,475,1767,1585,3076,1895,782,703,683,438,355,720,873,617,661,504,557,322,270,154,1860,655,937,866,331,366,818,762,482,452,440,396,248,271,167,3337,1496,527,631,538,161,354,647,431,706,555,408,314,261,202,203,2235,677,868,585,357,289,686,423,599,666,348,335,371,202,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2016",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1966690,994058,56104,55338,59603,35247,20533,57406,67560,66999,130774,139531,134788,108479,48701,12995,972632,52022,57625,56063,33297,20881,54298,65698,65411,122054,129107,136096,108996,50440,20644,260993,131385,10646,11119,8168,5826,3334,9956,11852,10005,17765,17175,13159,8018,3658,704,129608,9188,9359,9270,4871,2631,10215,11390,10068,17507,16520,13621,9455,4182,1331,244373,109193,5226,4997,7082,3441,2283,7079,8804,8895,15670,15975,14204,10334,4354,849,135180,4849,4847,6336,3918,1956,7156,9488,11127,20033,21849,19113,15435,7354,1719,20240,10168,882,893,758,714,182,985,661,921,1923,558,945,613,129,4,10072,531,1090,917,522,515,1128,506,395,1834,1143,824,297,247,123,"Nevada",14686,9242,2317,2955,3089,1596,1256,2211,2139,2196,2694,2384,1694,910,1903,1757,7678,2223,3379,3763,1512,1691,1865,1511,2007,2369,2226,1665,887,1976,1849,5352,3075,1025,1780,1249,714,495,877,1093,622,941,694,460,432,469,391,3317,1106,1252,1369,788,313,812,884,653,707,730,494,405,628,512,5223,2749,1082,1075,1009,677,255,577,693,690,736,708,846,536,507,368,3634,802,1120,1113,614,293,601,827,863,1040,769,696,705,990,618,1777,1172,419,577,319,369,136,334,344,283,461,319,197,134,135,10,889,220,483,465,299,267,383,290,330,664,624,151,197,192,183
