GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,ACKAE001,ACKAE002,ACKAE003,ACKAE004,ACKAE005,ACKAE006,ACKAE007,ACKAE008,ACKAE009,ACKAE010,ACKAE011,ACKAE012,ACKAE013,ACKAE014,ACKAE015,ACKAE016,ACKAE017,ACKAE018,ACKAE019,ACKAE020,ACKAE021,ACKAE022,ACKAE023,ACKAE024,ACKAE025,ACKAE026,ACKAE027,ACKAE028,ACKAE029,ACKAE030,ACKAE031,ACKCE001,ACKCE002,ACKCE003,ACKCE004,ACKCE005,ACKCE006,ACKCE007,ACKCE008,ACKCE009,ACKCE010,ACKCE011,ACKCE012,ACKCE013,ACKCE014,ACKCE015,ACKCE016,ACKCE017,ACKCE018,ACKCE019,ACKCE020,ACKCE021,ACKCE022,ACKCE023,ACKCE024,ACKCE025,ACKCE026,ACKCE027,ACKCE028,ACKCE029,ACKCE030,ACKCE031,ACKGE001,ACKGE002,ACKGE003,ACKGE004,ACKGE005,ACKGE006,ACKGE007,ACKGE008,ACKGE009,ACKGE010,ACKGE011,ACKGE012,ACKGE013,ACKGE014,ACKGE015,ACKGE016,ACKGE017,ACKGE018,ACKGE019,ACKGE020,ACKGE021,ACKGE022,ACKGE023,ACKGE024,ACKGE025,ACKGE026,ACKGE027,ACKGE028,ACKGE029,ACKGE030,ACKGE031,ACKIE001,ACKIE002,ACKIE003,ACKIE004,ACKIE005,ACKIE006,ACKIE007,ACKIE008,ACKIE009,ACKIE010,ACKIE011,ACKIE012,ACKIE013,ACKIE014,ACKIE015,ACKIE016,ACKIE017,ACKIE018,ACKIE019,ACKIE020,ACKIE021,ACKIE022,ACKIE023,ACKIE024,ACKIE025,ACKIE026,ACKIE027,ACKIE028,ACKIE029,ACKIE030,ACKIE031,NAME_M,ACKAM001,ACKAM002,ACKAM003,ACKAM004,ACKAM005,ACKAM006,ACKAM007,ACKAM008,ACKAM009,ACKAM010,ACKAM011,ACKAM012,ACKAM013,ACKAM014,ACKAM015,ACKAM016,ACKAM017,ACKAM018,ACKAM019,ACKAM020,ACKAM021,ACKAM022,ACKAM023,ACKAM024,ACKAM025,ACKAM026,ACKAM027,ACKAM028,ACKAM029,ACKAM030,ACKAM031,ACKCM001,ACKCM002,ACKCM003,ACKCM004,ACKCM005,ACKCM006,ACKCM007,ACKCM008,ACKCM009,ACKCM010,ACKCM011,ACKCM012,ACKCM013,ACKCM014,ACKCM015,ACKCM016,ACKCM017,ACKCM018,ACKCM019,ACKCM020,ACKCM021,ACKCM022,ACKCM023,ACKCM024,ACKCM025,ACKCM026,ACKCM027,ACKCM028,ACKCM029,ACKCM030,ACKCM031,ACKGM001,ACKGM002,ACKGM003,ACKGM004,ACKGM005,ACKGM006,ACKGM007,ACKGM008,ACKGM009,ACKGM010,ACKGM011,ACKGM012,ACKGM013,ACKGM014,ACKGM015,ACKGM016,ACKGM017,ACKGM018,ACKGM019,ACKGM020,ACKGM021,ACKGM022,ACKGM023,ACKGM024,ACKGM025,ACKGM026,ACKGM027,ACKGM028,ACKGM029,ACKGM030,ACKGM031,ACKIM001,ACKIM002,ACKIM003,ACKIM004,ACKIM005,ACKIM006,ACKIM007,ACKIM008,ACKIM009,ACKIM010,ACKIM011,ACKIM012,ACKIM013,ACKIM014,ACKIM015,ACKIM016,ACKIM017,ACKIM018,ACKIM019,ACKIM020,ACKIM021,ACKIM022,ACKIM023,ACKIM024,ACKIM025,ACKIM026,ACKIM027,ACKIM028,ACKIM029,ACKIM030,ACKIM031
"G130","2015",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",6077438,3010662,175512,195233,193550,121664,83567,203004,200287,187693,399026,437682,385219,274194,120588,33443,3066776,162880,181285,194137,110987,77362,184785,193172,188781,399951,429431,408964,310482,158450,66109,3197929,1492440,112742,128590,115724,74862,52312,128074,115317,103691,198473,192961,155445,81514,26188,6547,1705489,108182,117980,121314,74754,53962,136279,121686,124131,245024,231391,194447,109235,45380,21724,388457,186221,10751,12941,13244,7186,5786,14038,15775,16554,33360,26360,16644,9498,3473,611,202236,11798,12152,14634,6978,4820,14836,15248,17916,38768,27702,20753,11489,4432,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",15641,9922,3708,5800,5991,2649,3480,4534,3051,3061,4275,3293,1884,1423,2746,2657,9233,3345,5710,6113,2400,3471,4078,2577,2476,3211,2777,1777,1678,3514,3204,14494,8866,3129,6277,5500,2996,3047,3453,3022,3504,3699,3944,2714,2262,1777,1145,9555,3530,5936,5562,2657,3121,3789,2867,2858,3566,2630,2408,2382,1880,1836,5862,4359,1287,1643,1685,789,1102,1350,1538,1252,1762,1459,931,854,546,411,3563,1477,1830,1955,1000,903,1713,1195,1058,1651,1625,1209,1024,872,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2015",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",372252,205140,9999,7234,8375,3190,3672,20536,22133,18045,27464,23820,27703,22528,6171,4270,167112,10549,8066,6434,3329,2693,10802,14100,13885,19704,19535,26319,19391,8599,3706,29644,19335,677,515,283,439,781,3141,3006,2268,3989,1983,1136,817,93,207,10309,709,769,832,218,500,1308,1418,1221,1338,1047,820,129,0,0,531268,247461,9108,9865,12036,7468,4868,15913,15634,14421,30583,35140,38432,28782,16243,8968,283807,10280,9474,10438,7920,4708,12739,16297,14962,35181,41835,43469,35506,22443,18555,134232,68661,5475,5490,5180,3113,1772,5168,5531,5563,9520,8371,7349,4239,1220,670,65571,5142,5379,4281,3235,1682,5112,5231,4712,8517,7740,6838,5065,2048,589,"Hawaii",4443,2724,1121,1148,1400,710,567,1522,1248,648,798,686,353,362,722,730,2675,1161,943,874,453,471,846,713,626,741,547,718,291,728,725,2122,1691,385,314,268,408,440,541,642,503,575,271,324,338,157,317,1299,348,583,408,169,307,357,313,404,361,139,413,189,182,182,10112,5388,1254,1552,1641,951,737,1282,1303,1344,1680,1427,1435,826,1165,1010,5728,1416,1355,1468,1089,886,1239,1140,1213,1867,1310,1441,959,1539,1616,5671,2989,697,1106,743,610,302,765,1172,676,1043,717,686,544,363,372,3378,742,1078,876,400,480,773,652,756,998,922,730,397,482,303
"G160","2015",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1514404,757107,49367,59516,54435,33781,20300,51417,50149,50212,94046,90467,93491,68707,32261,8958,757297,49454,51515,54608,31592,20008,47329,48682,47773,92357,92863,97436,70852,35945,16883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21145,7628,64,89,712,262,260,714,287,1113,2033,540,641,692,100,121,13517,736,369,851,238,600,1142,659,2155,2498,1721,1438,484,524,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",5361,3556,1200,2984,2945,1338,1411,1905,1787,1518,1482,1263,755,638,1144,1062,3637,1247,2768,3119,1180,1297,1667,1358,1468,1525,1184,815,540,1749,1790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248,1168,65,117,492,224,212,475,368,546,758,433,356,468,96,126,1835,499,329,545,206,478,657,493,854,809,823,447,341,380,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2015",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9238679,4562869,259832,279614,285260,179339,116942,300303,306877,315128,589342,649522,627845,393713,186942,72210,4675810,249863,259676,276734,167958,112216,288939,297851,306043,575400,651006,650639,439785,254929,144771,1844624,863161,62103,63105,67005,42026,28177,81001,65947,57019,109467,108996,96755,51610,24259,5691,981463,61416,63740,66185,42208,29372,79969,67446,65283,127644,127620,121926,73419,39829,15406,674236,324572,20083,21470,18843,10051,8742,24718,26282,31382,55426,40599,33364,22405,9512,1695,349664,17305,18841,19249,10716,9234,24667,29665,34820,58708,46043,39304,26476,11277,3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",23235,12646,3086,6415,6571,2334,2203,3071,2984,3285,3802,3304,2351,1472,2996,2857,13079,2395,5255,6125,2678,2106,2980,2521,2390,4193,3200,2460,1597,4303,4516,9309,6089,2052,3256,3671,1326,1629,2693,1595,1784,2175,2031,1457,1121,1312,1083,5713,2068,2865,3012,1218,2156,2227,1519,1883,1883,1461,1307,1053,1837,1589,6487,4768,1102,2097,1742,986,847,1375,1756,1142,1444,1034,908,745,953,596,3162,1319,1914,1837,794,1382,1483,1284,1288,1732,1427,902,983,1065,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2015",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5559694,2737290,163429,172390,184470,110718,74990,198053,173607,173685,343673,379293,373949,238789,112125,38119,2822404,162186,164868,173248,109552,73949,187661,172178,170247,340523,382109,388285,268009,151110,78479,605660,286428,22154,22061,25689,15248,10295,24358,22127,19804,37080,35221,29978,14258,6040,2115,319232,22023,25775,21884,15357,9972,26402,23176,24475,40627,39651,36102,19243,10262,4283,138664,68438,5197,5070,4030,3198,3734,10275,5727,5199,10538,7814,3740,2867,916,133,70226,4022,3951,5620,2359,3717,7179,6257,6092,12600,7996,5937,3090,924,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",9753,6032,1741,4684,4739,1649,2330,2841,1651,1787,1928,1485,1106,862,2412,2484,5951,1750,5652,5548,1829,2256,2645,1453,1481,1870,1595,1680,882,3064,2819,8094,4609,1709,2314,2436,1299,1406,1725,2150,1554,1654,1485,1061,724,742,556,5508,1662,2266,2555,1347,1573,1941,1620,1685,1896,1704,1190,741,885,677,4048,2840,1169,1353,1110,962,888,1197,822,923,1379,1459,799,685,342,130,2482,1018,834,1104,716,811,1065,1113,1064,1318,1124,722,830,414,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2015",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2826672,1397220,84741,91608,87956,55319,44299,96870,84606,91026,164514,184886,195632,125598,65203,24962,1429452,81132,85082,85789,52329,38334,96499,83295,87103,162777,185420,199266,135397,84416,52613,106610,56904,5088,5348,4474,2627,2593,6253,3726,4759,8484,7050,4020,1089,1081,312,49706,4418,3605,6350,2587,2422,4056,4333,4839,5382,4814,3873,1579,752,696,68505,34329,2764,2715,2590,1379,2057,4099,3468,2695,5431,3606,2538,476,385,126,34176,2695,2023,1939,1083,1206,3368,4005,3063,6527,4431,1982,1352,411,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",5945,3903,1230,3181,3138,850,2479,2984,1195,1181,1181,1261,662,551,1630,1614,3684,1187,2959,3262,883,1585,1939,1254,895,978,852,725,372,2161,2137,4123,2643,810,996,1096,682,813,1484,932,1073,1467,1327,565,411,476,240,3038,1209,963,1233,585,823,906,862,1061,1071,902,596,443,276,297,3291,2197,513,634,860,450,947,967,592,938,926,781,754,304,291,168,1932,737,757,725,578,734,791,750,699,1149,917,646,498,287,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2015",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2465799,1223047,79479,78401,86254,49529,35076,92089,80398,82605,145774,155966,162091,103335,52896,19154,1242752,77068,80639,77327,48294,34370,80013,75644,80566,143971,156235,168753,112589,69485,37798,172109,88583,6472,5984,6857,4605,3970,8738,6436,7023,11808,11151,9056,4401,1738,344,83526,5382,7031,7084,3377,3900,5829,6594,5674,9691,9324,9991,5442,2760,1447,84221,40931,2805,3182,2682,1214,1545,5572,3991,3391,6808,4507,2757,1813,594,70,43290,2903,2759,3232,1756,1502,4253,3503,3746,6664,5613,3365,2243,1325,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7726,4881,1642,3028,3344,1213,1887,2555,1445,1212,1603,1346,1156,598,1610,1663,4438,1514,3141,2989,1364,2321,2566,1641,1189,1510,1196,902,787,1871,1666,4919,3318,1117,1037,1358,1114,989,1622,1161,896,1391,1188,695,399,306,203,3273,1053,1528,1640,647,861,970,1049,876,810,827,813,531,549,476,2647,1612,335,779,932,408,628,1111,669,473,725,846,262,520,325,89,1901,523,756,561,675,555,896,493,522,646,701,393,587,668,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2015",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3865712,1894206,114882,116512,122257,74722,51030,130998,121103,118274,246331,264210,257194,174751,79385,22557,1971506,110222,111402,115420,74498,50767,123197,122601,119627,245542,273269,275106,196093,103279,50483,355718,180277,11902,14907,11640,8952,6446,17438,15273,11146,22227,24427,21296,9761,4029,833,175441,11182,11735,11426,6473,6503,13923,12750,11967,21663,22192,24075,12682,6495,2375,59626,26698,1846,1306,2070,1008,1134,2978,1919,2461,5005,3112,1779,1733,259,88,32928,1929,1963,3156,1040,1130,2076,2783,2701,6350,3548,2387,3044,689,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",5045,3475,1335,3888,3773,1403,2117,2336,1320,1217,1759,781,715,603,2035,1956,3673,1229,3917,3781,1785,2445,2851,1183,1332,1610,972,795,679,3103,3149,5355,3758,1628,1787,1648,1141,975,1582,1504,1124,1344,1707,1389,1069,731,347,4138,1529,1610,1667,906,1085,1227,1239,1269,1338,1296,1218,926,710,578,2828,1822,500,475,584,528,450,749,531,469,980,679,607,394,194,134,2066,605,686,733,418,504,612,494,769,833,819,580,1037,330,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2015",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2914693,1447252,88476,90693,89334,55232,37556,93319,102085,100696,186575,194378,195423,131302,62655,19528,1467441,79432,85428,79905,51195,32534,90643,103843,99916,176285,196465,205008,146612,82326,37849,1502375,713001,55643,60614,57409,36392,24935,63007,50639,52493,86644,82131,80592,41112,16517,4873,789374,54968,60829,51913,33524,23042,65455,60070,59146,96091,98179,94644,53406,26150,11957,81039,39308,1950,3533,2015,1034,1036,4907,4037,3026,5710,5460,4057,1388,831,324,41731,2053,2446,2792,1679,1189,3460,4354,3596,6047,6186,3419,2098,2062,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",7522,5327,2008,3963,4016,1664,2227,2320,1804,1843,2482,1625,1218,996,1795,1697,4402,1871,4047,3972,1642,2079,1974,2010,1714,2198,1603,1123,722,2544,2448,7155,5378,2461,3085,2951,2004,2543,3118,1844,2756,2917,2601,1335,1320,1402,890,5020,2222,3231,3411,2088,2065,2193,2516,2259,2448,2639,1156,1428,1601,1565,1904,1824,743,936,881,564,439,1139,1144,870,1260,1190,740,508,370,373,1594,743,805,716,529,536,942,817,968,1088,1187,469,565,753,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2015",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1258074,615065,29548,32143,35992,22880,15622,37155,35599,34112,70941,92086,97892,69089,31381,10625,643009,27947,29560,33467,21254,14425,35858,36735,35838,73243,95513,105047,73995,38888,21239,14795,9078,508,1070,763,185,504,1331,145,795,1339,1258,731,160,289,0,5717,450,1115,622,323,275,256,328,556,831,242,382,222,115,0,13291,4626,245,109,112,184,392,173,362,690,960,419,512,375,93,0,8665,761,461,452,61,84,348,548,1500,1119,1596,905,497,250,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1424,1176,507,2132,2057,461,752,1010,740,350,347,452,397,165,1298,1293,1341,415,2158,2225,665,627,979,751,412,406,239,419,313,1650,1654,1718,1376,342,595,384,225,369,846,174,520,501,614,381,190,308,163,1087,319,561,345,237,268,229,248,389,397,277,315,261,118,163,1358,795,304,154,147,203,275,183,372,375,513,256,286,285,96,163,1282,664,436,320,107,97,294,314,654,555,666,335,272,253,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2015",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3395048,1669516,93171,92827,98711,60991,42052,105949,114668,112431,199638,248206,241763,157572,74687,26850,1725532,86351,89766,93103,59421,39343,101682,110194,109158,200439,254986,253303,175161,97845,54780,1770161,823495,56377,61503,58160,37031,23883,65480,63817,55561,108295,119724,95577,51532,20717,5838,946666,53915,56749,58892,36742,25759,66353,69153,66116,129252,141560,122847,72631,33047,13650,385167,185161,10887,13676,12625,6504,4311,12981,14845,15127,28595,26076,19809,13262,4807,1656,200006,9009,10444,11605,6727,5685,11042,16102,17029,34342,30842,23147,14774,7811,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",10270,5822,1866,3653,3984,1190,1533,1988,1515,1902,2319,1687,1106,865,1891,1755,6067,1942,4017,3603,1406,1716,2035,1524,1440,1852,1619,1630,1010,2504,2474,10035,5833,2023,3456,3455,1397,1374,2029,1266,1453,2088,1675,1113,926,1034,899,6382,2129,3411,3550,1294,1543,2079,1936,1739,1509,1476,1167,1375,1563,1487,4604,2746,1062,1631,1309,717,724,973,910,735,1164,1124,720,809,544,533,2827,1012,1099,1176,623,940,979,931,811,1266,973,661,673,745,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2015",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5373238,2601839,133082,134325,151551,96815,76776,180226,179103,169353,307485,393877,375781,243239,113600,46626,2771399,127413,133056,139733,91876,78696,181778,178250,172377,320868,411089,403667,279131,155200,98265,499357,240665,18239,17515,17989,10881,8059,24625,20072,16717,32755,30689,24832,11901,4758,1633,258692,16716,16059,18484,11619,7907,22405,22020,19818,34461,33202,28552,15847,8288,3314,430739,205542,12762,11961,12017,7571,6523,19205,19826,19637,35168,26639,18575,9432,4234,1992,225197,12016,13156,11110,6740,8575,19306,22867,22985,38923,29834,20464,11818,5667,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",12798,8106,2348,5593,4622,1312,1201,1984,1638,1774,2294,2442,1324,1254,2270,2239,7250,1696,4722,4408,1272,1337,1910,2032,1821,2609,2097,1691,1119,3889,3921,8709,4945,1575,2183,2020,913,1058,1867,1291,1572,1922,1394,930,916,879,594,5527,1450,1721,1603,975,886,1846,1442,1516,1856,1358,1082,991,849,724,4536,3047,1023,1536,1447,707,904,1127,741,736,1446,1089,527,607,649,605,2786,768,1706,1657,583,802,1147,814,1008,1103,783,680,685,675,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2015",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7801483,3851653,206660,223157,235478,152856,101733,268864,239982,230141,454363,558453,570198,372253,177622,59893,3949830,198647,209849,230338,145302,97992,254208,230256,226440,449028,562115,593097,405756,226561,120241,1378111,653387,50887,47126,51014,31651,22530,60891,49905,38801,79127,83483,74448,41550,16576,5398,724724,46238,45124,47928,31741,21582,63681,51183,43795,93999,94197,89999,55531,25877,13849,293157,142367,7712,10426,10313,6050,5519,12982,12558,12758,22684,18128,12476,7391,2930,440,150790,8172,9056,10734,6048,4730,13582,12383,13436,24862,20002,14546,8755,3450,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",8387,4746,1365,5004,5116,1058,1366,2003,1618,1413,1862,1417,1180,873,2865,2917,4969,1586,5456,5300,1218,1421,1768,1574,1315,1751,1618,1141,954,4047,3866,9749,5579,1933,3248,3308,1198,1297,1784,1934,1526,2002,1712,899,958,1047,862,5941,1863,2641,3089,986,1351,2166,1542,971,1385,1513,1139,730,1565,1505,3884,2732,714,1212,1257,650,862,1058,988,1073,1118,993,764,525,466,244,2331,645,1408,1182,751,851,970,1021,941,1281,1072,929,588,564,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2015",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4614799,2289162,135663,137167,140797,86491,57214,144000,145560,157378,280979,327769,333417,204155,98721,39851,2325637,127138,130283,135681,81894,54730,142695,138215,153518,273331,329000,338398,220029,128510,72215,320267,163998,17404,16913,15874,9137,5472,12581,13111,13156,23403,18925,12035,4623,1059,305,156269,15382,16382,15074,6757,4843,13129,13998,13535,21477,15541,11556,6063,2251,281,258839,126000,9857,10745,10587,5778,4803,11359,13423,12502,19302,13496,7256,4354,2155,383,132839,9187,9877,10886,6564,4499,10920,14202,14381,20423,14140,9215,5745,2067,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",7190,4234,1492,3463,3234,803,1181,1611,1578,1014,1561,1299,996,493,2120,2059,4191,1160,3666,3825,788,1432,1905,1159,926,1365,1149,806,620,2821,2793,5209,3139,1331,1878,1668,813,813,1107,1008,1100,1288,1108,964,438,271,237,3287,1106,1590,1932,615,928,1299,1140,827,1040,1035,533,645,404,214,4929,3373,751,1472,1303,641,702,1273,834,909,989,993,887,793,630,310,3192,966,1268,1261,681,676,1168,888,685,1186,1012,752,656,453,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2015",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1758586,866140,49016,59816,50263,32834,22930,59002,54527,52276,111139,115537,117124,87303,42700,11673,892446,47998,51716,53981,30930,26942,52104,50196,51867,108846,117075,121851,97478,57043,24419,1128475,527261,39718,48293,42200,29095,24128,43631,36180,31598,67592,60784,58849,31146,11424,2623,601214,41806,43134,44746,26619,20091,50994,40659,39547,82912,72435,70253,41206,17889,8923,30540,15168,637,890,1330,596,266,1375,2044,1202,2798,1438,1357,734,501,0,15372,673,631,1355,722,480,755,1247,801,2699,2359,1724,1537,368,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4423,3513,1669,3201,3424,1849,2041,3027,2130,1741,2171,1605,896,676,1260,1317,3981,1739,3225,3188,1917,2433,2794,1473,1401,1723,1569,500,794,2026,1972,4848,4630,2761,3067,2537,1800,2248,2346,2219,2705,3462,2926,1363,1774,1485,808,4332,2356,2859,2979,1890,2254,2559,2120,2240,2774,2160,1246,1232,1463,1087,2306,1575,346,653,715,425,232,615,693,550,599,600,790,349,358,207,1400,411,369,490,436,337,353,563,483,839,785,630,572,229,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2015",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",5011327,2468790,145757,153879,155350,98352,68485,166697,159061,162521,301575,337800,339348,228066,112725,39174,2542537,138002,150615,142538,90295,64455,161589,158187,160491,297794,342208,358557,255584,146636,75586,709969,333075,25113,24084,27293,17355,12145,30609,25078,23112,40865,42596,37734,17147,7530,2414,376894,26926,27681,23326,17124,11258,31641,28250,25192,47168,49086,44545,25574,12964,6159,114889,54155,4375,4032,3437,1985,2266,6611,5592,4202,9565,5012,3571,2191,1220,96,60734,3192,4034,4241,1749,1358,5984,4883,6457,10942,6906,5797,3333,1695,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",7416,4996,1496,3325,3299,1671,2866,3303,2081,1343,1726,1358,862,731,2661,2633,4722,1663,4382,4109,1456,1966,1999,1460,1506,1442,1235,903,687,3021,3018,6726,4289,1783,2353,2768,1089,1459,1561,1950,1458,1984,2157,973,660,696,630,4508,1854,3103,2588,1383,1129,1703,1216,1116,1611,1434,967,701,1035,969,3501,2530,885,1079,803,561,598,1195,833,957,899,687,635,450,377,144,2091,809,1003,727,493,434,781,845,1049,1146,1099,930,690,588,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2015",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",918701,462837,25117,26567,27422,16689,13324,32036,28427,29500,54783,58055,69532,50633,23063,7689,455864,24310,27289,24072,15187,11273,29298,27102,27897,51304,57925,71471,49409,26459,12868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9071,3852,127,65,178,313,770,409,462,86,470,334,200,92,346,0,5219,78,121,862,216,1,313,708,647,966,343,545,244,127,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",2213,1808,701,1500,1618,898,1347,1534,838,742,859,565,337,338,1162,1141,1718,648,1562,1620,867,1270,1397,615,294,529,496,340,315,1558,1446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,1156,208,87,206,270,712,292,513,111,331,349,242,75,408,165,988,70,122,622,205,2,213,572,479,666,211,330,157,185,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2015",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1671988,830819,55525,53993,58338,32143,22699,61017,53521,58031,103780,103872,109670,69068,34324,14838,841169,52666,54749,53183,30532,24641,56454,49994,55550,99450,104836,111764,74699,45397,27254,90535,45841,2878,3858,3759,2799,1720,5498,3432,3977,5253,5817,4081,1683,876,210,44694,4102,4154,3564,2093,1312,4298,3022,3334,5429,5117,4256,2346,1449,218,39906,19233,1514,1332,969,593,740,2249,2609,1793,3723,1372,1551,706,25,57,20673,913,1764,896,706,357,2865,2017,1970,3025,2394,2138,1324,248,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",6529,4480,1237,2192,2626,863,1377,1770,1173,1019,1485,1135,589,475,1070,1059,3431,1303,2341,2531,1009,1298,1572,1113,1112,1556,995,502,462,1766,1710,2978,1799,480,834,680,412,647,869,551,682,651,646,509,220,247,223,2048,637,776,927,395,534,652,471,586,570,586,435,347,323,125,1996,1129,267,369,383,327,371,665,454,479,567,434,417,290,44,109,1320,220,527,400,345,245,470,423,516,524,393,624,490,231,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2015",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1952341,988729,56263,61354,55268,35128,21005,57873,69325,67194,128923,141286,131855,104014,47274,11967,963612,51710,57740,60102,31842,17516,56363,66252,65050,122596,129205,131286,105091,49485,19374,246720,122531,8191,11000,7664,4925,3120,9898,10509,8771,16955,17030,12819,7248,3798,603,124189,8277,8018,8805,5108,3357,9926,11020,9531,17046,15782,13345,8594,4131,1249,231566,103594,4354,5274,6483,3319,2340,6148,8697,8458,15899,15134,12943,9772,3635,1138,127972,3639,5187,5748,3573,1977,7330,9961,9606,20098,20073,18775,14027,6811,1167,18326,9016,528,274,480,248,377,670,551,781,2148,1313,816,749,81,0,9310,643,704,569,497,972,930,541,338,1399,1086,1026,367,58,180,"Nevada",14544,8487,2033,3752,3161,1369,1276,1954,1786,2227,2437,2216,1571,868,1613,1275,7762,1894,3274,3200,1340,1028,1940,1719,1713,2399,2048,1498,1258,1899,1850,4756,3096,1438,1618,1294,534,629,1063,823,666,651,771,742,337,480,365,2886,1080,1349,1253,633,599,918,861,590,921,748,550,352,495,452,4314,2685,747,1075,1111,550,315,777,681,761,771,595,731,517,543,512,2592,650,1060,1075,488,390,732,776,686,757,876,779,538,575,524,1544,918,280,248,329,206,447,467,294,218,634,531,353,379,134,204,1194,244,536,350,286,721,459,310,229,552,485,559,280,97,283
