GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,LIJE001,LIJE002,LIJE003,LIJE004,LIJE005,LIJE006,LIJE007,LIJE008,LIJE009,LIJE010,LIJE011,LIJE012,LIJE013,LIJE014,LIJE015,LIJE016,LIJE017,LIJE018,LIJE019,LIJE020,LIJE021,LIJE022,LIJE023,LIJE024,LIJE025,LIJE026,LIJE027,LIJE028,LIJE029,LIJE030,LIJE031,LILE001,LILE002,LILE003,LILE004,LILE005,LILE006,LILE007,LILE008,LILE009,LILE010,LILE011,LILE012,LILE013,LILE014,LILE015,LILE016,LILE017,LILE018,LILE019,LILE020,LILE021,LILE022,LILE023,LILE024,LILE025,LILE026,LILE027,LILE028,LILE029,LILE030,LILE031,LIPE001,LIPE002,LIPE003,LIPE004,LIPE005,LIPE006,LIPE007,LIPE008,LIPE009,LIPE010,LIPE011,LIPE012,LIPE013,LIPE014,LIPE015,LIPE016,LIPE017,LIPE018,LIPE019,LIPE020,LIPE021,LIPE022,LIPE023,LIPE024,LIPE025,LIPE026,LIPE027,LIPE028,LIPE029,LIPE030,LIPE031,LIRE001,LIRE002,LIRE003,LIRE004,LIRE005,LIRE006,LIRE007,LIRE008,LIRE009,LIRE010,LIRE011,LIRE012,LIRE013,LIRE014,LIRE015,LIRE016,LIRE017,LIRE018,LIRE019,LIRE020,LIRE021,LIRE022,LIRE023,LIRE024,LIRE025,LIRE026,LIRE027,LIRE028,LIRE029,LIRE030,LIRE031,NAME_M,LIJM001,LIJM002,LIJM003,LIJM004,LIJM005,LIJM006,LIJM007,LIJM008,LIJM009,LIJM010,LIJM011,LIJM012,LIJM013,LIJM014,LIJM015,LIJM016,LIJM017,LIJM018,LIJM019,LIJM020,LIJM021,LIJM022,LIJM023,LIJM024,LIJM025,LIJM026,LIJM027,LIJM028,LIJM029,LIJM030,LIJM031,LILM001,LILM002,LILM003,LILM004,LILM005,LILM006,LILM007,LILM008,LILM009,LILM010,LILM011,LILM012,LILM013,LILM014,LILM015,LILM016,LILM017,LILM018,LILM019,LILM020,LILM021,LILM022,LILM023,LILM024,LILM025,LILM026,LILM027,LILM028,LILM029,LILM030,LILM031,LIPM001,LIPM002,LIPM003,LIPM004,LIPM005,LIPM006,LIPM007,LIPM008,LIPM009,LIPM010,LIPM011,LIPM012,LIPM013,LIPM014,LIPM015,LIPM016,LIPM017,LIPM018,LIPM019,LIPM020,LIPM021,LIPM022,LIPM023,LIPM024,LIPM025,LIPM026,LIPM027,LIPM028,LIPM029,LIPM030,LIPM031,LIRM001,LIRM002,LIRM003,LIRM004,LIRM005,LIRM006,LIRM007,LIRM008,LIRM009,LIRM010,LIRM011,LIRM012,LIRM013,LIRM014,LIRM015,LIRM016,LIRM017,LIRM018,LIRM019,LIRM020,LIRM021,LIRM022,LIRM023,LIRM024,LIRM025,LIRM026,LIRM027,LIRM028,LIRM029,LIRM030,LIRM031
"G130","2011",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",5961961,2964410,186971,193142,198969,117460,86588,204655,193123,193499,418485,443656,371930,223741,106234,25957,2997551,170508,188945,182609,105334,84148,189455,184713,188049,410626,440632,394503,251463,141467,65099,3021927,1422904,117999,115780,125360,72738,58986,123264,98226,99025,199579,190561,132386,61845,22377,4778,1599023,108203,111816,125817,70181,55535,121824,115678,119088,239014,226030,165885,81897,40579,17476,322841,153403,8818,11204,11828,5908,5019,11729,12129,13139,29678,20601,13948,8019,1196,187,169438,10784,10872,10765,7192,4477,11331,14949,14134,34514,22669,15693,8650,2616,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",19867,10688,4238,6871,7036,4096,3820,4884,4358,3679,4107,3089,1694,1581,2567,2360,12090,3965,6694,6394,3170,4147,5021,3459,2658,4126,3219,2093,1817,3722,3656,14079,9342,4188,5618,5755,3375,3555,4679,3622,2799,3963,3741,1980,2338,1742,813,10416,4170,5889,5936,2920,3192,3705,3587,3628,3697,3263,1862,2077,2168,2127,7505,4492,1324,1617,1629,980,987,1531,1373,1339,1924,1491,1261,1006,573,153,4966,1370,1696,1237,1190,1299,2052,1430,1218,2444,1574,1559,1839,900,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2011",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",343352,185285,8756,6885,6455,3139,4060,16707,16979,13770,24607,27465,30697,16236,6278,3251,158067,7869,5850,6963,3571,3214,10476,13107,11640,18912,22930,27122,14817,8459,3137,26281,15441,669,815,584,308,109,2595,2742,926,3467,1632,834,702,58,0,10840,1259,778,985,462,984,968,1201,210,1892,1071,535,145,330,20,523824,244741,9481,10286,12799,8182,4332,13637,14187,13256,32917,39093,37952,24472,15572,8575,279083,9369,9097,11935,8671,4624,11673,13917,15767,38088,44996,42008,29202,24791,14945,128087,64858,5768,5777,4909,2938,1501,5644,5609,5115,8719,8416,5559,3273,1220,410,63229,5149,4824,4508,3176,2075,4991,5315,4228,8782,8443,5752,3415,1856,715,"Hawaii",3503,2345,990,954,943,430,638,798,740,680,817,661,381,235,612,591,1999,871,934,1129,474,553,717,675,597,621,562,574,489,685,684,1452,1354,349,553,423,285,166,471,987,562,607,495,405,369,70,187,910,218,335,406,285,585,624,303,231,645,573,325,118,247,34,9782,5644,1281,1496,1565,1058,647,1197,1174,1180,1383,1649,1329,858,1294,1263,5657,1436,1100,1765,1008,709,1353,1156,1224,1500,1574,1509,905,1497,1344,5294,3163,838,1168,1008,505,411,1085,985,711,1141,794,743,497,319,231,2988,611,883,995,525,518,665,1044,584,807,810,687,449,414,342
"G160","2011",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1465484,732506,55005,55525,56626,32533,21196,50338,48522,48012,89332,96395,88695,54227,27116,8984,732978,51545,54337,51428,30371,21509,49774,45728,47665,89402,96574,89652,56444,34765,13784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20913,9385,717,575,237,173,87,1061,928,827,2137,1356,459,626,202,0,11528,913,906,659,409,231,736,1069,295,2427,1341,957,1285,157,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",5687,3554,956,2731,2895,1035,1705,1813,1352,1226,1588,1172,840,434,1527,1474,3318,1035,3241,3073,1145,1368,1510,835,913,1420,1399,646,651,1553,1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,1585,516,372,217,160,133,593,575,608,1082,1219,254,385,205,195,1544,620,438,423,295,191,420,526,243,762,631,503,650,162,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2011",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9328438,4595973,273066,288473,298590,188271,125165,304590,318711,309423,610232,702631,595257,328852,184620,68092,4732465,264357,272710,282650,177471,115677,294119,314141,303442,600205,708957,619403,375634,260168,143531,1867304,878266,66963,64169,78076,51412,38083,74498,59632,55555,110825,120117,87442,45159,20388,5947,989038,63739,69959,67803,48252,34016,74875,65908,63980,135082,139135,112516,63159,35658,14956,599115,286623,18948,20556,16250,10053,7378,22295,25313,26019,51243,34497,28763,16681,6648,1979,312492,18501,19748,18640,9998,6514,21598,27119,30866,54084,40139,34437,19410,8785,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",27666,15877,3487,7797,7651,2445,2205,4004,3430,3497,5161,3104,2426,1559,3412,3048,14599,4195,6691,7256,2247,2371,3362,2768,3335,4172,2603,2609,1771,4293,4348,10690,6998,2231,3225,3348,1184,1535,3487,2422,2010,2673,2110,1043,808,1126,911,5936,1932,3553,3237,1416,1235,2075,1289,1574,1711,1810,954,903,1411,1459,6487,3777,1290,2037,1735,764,906,1447,1513,1439,1456,1483,1193,751,1045,638,4150,1619,2098,2093,752,666,1487,1203,1407,1502,1261,1169,994,1146,854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2011",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5512023,2713005,169085,174682,188022,113761,81273,189992,173260,172175,350592,405906,354313,199388,106390,34166,2799018,161104,171091,178841,106779,75841,188995,169972,169950,346746,410984,367258,226191,146677,78589,589109,282200,23424,24597,24587,17344,12190,22166,18442,21022,37153,35793,26569,11370,5745,1798,306909,22568,24626,22674,14366,11720,23444,21896,20874,40938,41788,31835,15992,10221,3967,102695,49934,4315,3227,2998,1661,2188,7335,5089,5695,8242,4308,2271,1726,591,288,52761,2796,3951,4121,1331,1621,6004,3611,4742,10719,5435,4373,2401,1373,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",8881,5964,1799,4206,4469,1747,1954,1991,1370,1838,2009,1448,1554,859,2034,2045,4570,1806,5794,5615,1272,2164,2602,1484,1364,1690,1184,883,558,2984,3021,7189,4330,1601,2194,2205,1368,1267,1186,978,1533,1612,1813,926,594,619,476,4734,1739,2369,2335,1055,1629,1710,1499,1194,1618,1755,1183,687,885,745,4396,2683,1040,1054,866,651,849,1197,819,1197,1235,1282,592,586,352,284,3122,854,1085,1093,508,476,964,923,1119,1705,1218,860,689,638,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2011",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2800812,1381105,86892,90050,88610,56796,43140,95121,88671,86197,165359,202206,186250,104676,62653,24484,1419707,82349,82294,88056,52438,39217,94638,85045,85484,162168,204420,187679,117483,87021,51415,88258,42859,4036,2675,3859,1824,1567,4094,4196,3565,5624,6035,3554,1140,581,109,45399,4781,6074,3569,3268,1600,5066,2594,3496,5067,3418,3444,1589,1113,320,56040,26866,1435,1528,2124,832,1405,4252,2793,2675,3745,2681,2353,507,376,160,29174,2995,2265,1021,767,905,3497,4179,2220,4866,2606,2216,1007,509,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",4987,3481,1222,3241,3237,1094,1430,1784,1035,824,1024,927,649,318,1753,1788,2977,1274,3238,3374,798,1317,1511,834,975,1123,821,604,521,1897,1878,3256,2395,1002,785,826,373,552,769,1077,648,1105,955,590,375,303,126,2224,917,863,867,954,654,1438,699,653,700,545,557,417,472,239,2355,1566,570,594,900,323,545,793,725,786,806,714,650,265,208,166,1699,818,429,384,272,403,816,952,593,927,674,560,417,292,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2011",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2442531,1206970,80726,81498,84809,49237,34991,88132,80751,76438,145863,173529,156352,84740,51378,18526,1235561,76783,77134,79460,46494,35371,81046,80928,75937,143888,177220,159059,94394,68840,39007,167669,85154,7139,6609,6666,3813,4129,8670,5670,6668,11883,10750,8234,3043,1358,522,82515,8254,6503,5132,4004,2207,7334,6107,5191,10800,11819,7609,3989,2717,849,67235,31765,2451,2754,1915,780,803,3467,3683,2786,4956,3319,2579,1658,581,33,35470,2530,2146,2669,1335,1019,3891,2711,2590,7232,3833,3311,1334,753,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",6705,4263,1371,3076,3197,1471,1788,2236,1444,1305,1839,1281,857,699,1476,1466,4045,1533,3323,3399,1377,1991,2184,1124,1003,1673,1323,870,559,2218,2172,4848,2629,1104,1261,1153,785,1132,1523,1176,824,1262,1172,830,391,348,241,3665,1218,1426,1132,696,767,1281,796,602,999,1238,448,559,413,329,3040,1892,873,611,427,378,436,899,686,575,769,329,636,452,420,50,1886,591,612,629,453,668,1041,593,630,721,557,579,379,402,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2011",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3837605,1883150,116345,119059,125471,75728,51810,129203,120402,123461,250563,282202,248596,146682,73370,20258,1954455,111694,119151,113385,71061,52827,122718,119827,123563,250934,290676,263523,166597,100155,48344,348778,171128,11904,12964,12062,10535,6936,16061,12708,13176,23501,23372,16799,7159,3497,454,177650,12661,11554,13595,6648,6520,13409,13646,12688,22922,25461,19166,10183,5725,3472,50424,23045,1629,2561,1475,1408,296,2963,1643,1193,4080,3242,935,1178,396,46,27379,1785,2662,1742,1371,732,2412,1862,1695,5455,3428,1880,1687,597,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",5487,3679,1428,4223,4231,1105,1949,2301,1239,1025,1564,908,870,654,1935,1739,3406,1387,3198,3094,1252,2509,2444,1155,865,1282,1029,612,492,2617,2540,6594,3998,1443,1851,1704,1092,1099,1504,1358,1196,1915,1679,1082,812,638,222,4444,1369,1601,1834,1019,1071,1699,1609,1339,1603,1517,1238,905,784,733,2713,1644,480,840,620,542,303,826,632,585,946,924,397,527,261,82,1821,737,805,544,513,324,676,462,613,868,913,390,500,270,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2011",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2874839,1419855,86331,84786,93157,53029,36229,100287,101306,94927,185722,210527,187940,110289,58068,17257,1454984,84593,85342,82989,51383,33934,99320,98977,90192,179104,212724,193995,124978,82316,35137,1469876,700735,59175,57633,61480,36214,30580,60462,50878,48647,82408,88929,72425,33077,13810,5017,769141,58191,56310,57322,34313,27965,67037,55947,53741,93035,101896,85542,44653,23078,10111,72484,34102,2778,2509,1875,837,969,3521,2486,3067,5461,4451,3710,1676,762,0,38382,2369,2328,2788,1489,407,3004,4545,3198,6055,4653,4433,1708,1167,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",6593,4783,1736,3727,3670,1503,2039,2521,1978,1937,2290,1422,894,681,1590,1492,4125,1442,3611,3639,1544,1740,2102,1679,1295,1520,1272,833,732,2185,2124,6384,4803,2519,3237,2888,1621,2100,2270,1937,2297,2606,2205,1089,1292,989,881,5140,2171,3238,3524,1569,1950,2104,2088,2177,2253,1506,949,989,1390,1377,2804,1914,831,657,752,389,503,919,699,608,1075,737,1028,568,242,198,2231,792,791,500,449,299,654,991,821,972,1109,933,644,549,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2011",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1264494,618375,30999,34979,37037,24209,17036,37654,34272,34142,77250,101760,95090,54728,29066,10153,646119,29650,33734,33297,22075,16329,35758,35181,34201,81430,105947,99573,59806,39660,19478,13598,7574,763,474,696,370,589,1259,355,621,1147,631,310,236,123,0,6024,1011,554,665,441,151,559,570,473,815,459,133,62,131,0,13498,5751,87,393,604,107,287,441,569,296,1364,1014,146,392,51,0,7747,165,766,824,457,304,571,669,369,1031,1028,520,955,69,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1599,1218,320,2141,2031,466,866,850,332,368,436,439,258,146,1369,1353,1253,412,2078,2109,482,523,578,563,597,750,451,181,234,1488,1470,1448,1210,515,318,387,190,333,486,309,348,481,336,232,209,192,157,865,331,370,300,237,110,317,448,411,411,288,179,86,209,157,1852,1089,111,319,382,103,269,329,299,207,619,524,199,253,64,157,1124,123,373,381,360,187,266,330,279,425,395,262,478,76,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2011",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3414300,1670411,90306,96791,102916,64651,47140,109537,108723,103531,211183,272784,233846,131573,68264,29166,1743889,88848,94507,97464,62339,42719,105694,107126,101131,218960,280492,245083,146783,98307,54436,1725923,802669,60591,59248,61383,42013,27319,66051,56627,53301,110377,119497,83089,40270,18965,3938,923254,57081,56106,62597,38700,27882,66419,64985,64269,134342,144929,108439,56927,28078,12500,329770,158942,12240,9845,10557,5980,4693,11322,12016,12731,25548,23141,16943,9723,2803,1400,170828,8756,9702,10818,5644,4407,9916,14014,15602,29799,25738,19508,10762,4581,1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",13228,7578,1870,4575,4231,1202,2227,2073,1919,1953,2634,1594,1089,620,1960,1936,7059,1893,4017,4179,1245,1605,1878,1631,1641,2240,1246,1426,1042,2834,2747,6990,4348,2060,3294,3613,1742,1446,2123,2115,2058,1979,1540,1059,851,1258,921,4848,1805,3503,3684,1268,1181,1585,1360,1429,2199,1898,1101,1016,1568,1267,4691,2981,940,1415,1578,618,782,909,772,754,1122,1160,709,687,645,510,2642,1054,1309,1336,629,1004,1227,978,874,1351,979,656,611,778,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2011",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5305948,2568181,133650,143229,157034,100492,75503,178999,167938,153945,331588,418927,354918,195427,111706,44825,2737767,126994,138993,148060,96184,79615,174799,168192,156220,345697,435598,381508,228423,162384,95100,451127,217120,16970,14966,17803,10873,9050,21036,17193,14375,31669,29844,18621,10389,3351,980,234007,14931,18353,16450,10838,8327,22273,17556,16824,33298,30801,22706,12186,6027,3437,365968,174460,12200,11294,11788,5993,5898,16198,16746,16049,30642,21559,14697,6814,3675,907,191508,11649,11201,10765,7755,6229,18397,19959,18660,33502,23140,16247,8491,3884,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",12504,7207,1813,4943,4934,1312,1257,2118,1962,2058,2309,2221,1181,735,2039,1975,6900,2002,4914,5172,1345,1836,1888,1850,1784,2056,1906,1448,1037,3935,3950,7855,4307,1557,1714,1923,1083,1375,1753,1472,1032,1559,1346,852,870,622,562,4857,1134,2282,1973,971,1014,1545,1162,1191,1563,1424,928,1024,1065,988,4987,3059,865,1327,1264,803,679,1030,832,1080,1024,740,530,626,620,464,2953,958,1245,1288,716,672,1123,1030,699,1215,730,539,403,730,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2011",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7830903,3861710,212888,237277,251531,162205,112747,263925,229990,226435,485832,607336,540841,306681,166137,57885,3969193,203404,221867,241452,152109,104930,257798,224780,221716,483482,615202,559178,337606,227510,118159,1388139,661553,50158,52354,52139,37687,27680,59597,41156,41173,86135,88640,70755,33193,15084,5802,726586,48644,44490,53570,34462,27980,57690,44606,45689,99172,100434,86577,44461,26289,12522,242232,118300,7942,8661,8868,4876,5174,11967,9575,8764,20947,14163,9749,5340,1436,838,123932,8077,8498,8482,4922,3807,10018,10243,11330,21946,15038,11823,6035,2840,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9530,5981,1641,5528,5364,1163,1874,2461,1565,1227,1748,1522,921,809,3099,3028,5253,1479,5345,5203,1212,1290,2056,1342,1079,1345,1321,1243,800,3879,3834,7863,5167,1873,3059,2906,1553,1242,1831,1189,1647,1922,1075,1124,856,1226,1115,5013,1874,3069,2650,1324,1410,1974,1139,982,1299,1314,712,783,1199,1235,5033,3054,959,1162,1230,719,887,1273,1132,843,1091,887,818,599,359,381,3029,886,1014,1225,863,911,1224,944,824,1204,954,887,594,509,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2011",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4577875,2269016,135588,140262,144575,89799,61764,144810,153959,150591,285198,360579,307251,166060,94568,34012,2308859,130371,135861,134329,84468,60571,138072,150281,143589,281208,363558,310173,181698,125795,68885,279142,143208,13739,13981,11596,8048,4669,14936,13234,10637,19924,17901,9744,3362,1025,412,135934,13927,13084,12866,6359,4803,12614,11469,11318,18866,14378,10285,3778,1552,635,216270,105120,8369,9809,8990,5897,4669,11593,9802,8707,17308,9737,5969,2828,1037,405,111150,9065,10294,8563,4359,4520,10894,10947,10251,18243,10281,7297,3502,1936,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",7618,4739,1514,4084,3968,917,938,1065,1296,1309,1526,1284,791,303,1706,1658,3898,1399,3021,3245,778,1018,1352,829,1108,1313,971,766,423,2468,2426,6224,3823,1843,1596,1494,895,734,1374,1450,894,1392,1311,603,521,389,291,3554,1269,1619,1699,832,682,1378,950,961,1128,856,1072,339,348,267,3768,2286,866,1228,1218,694,658,956,1310,864,1046,880,601,453,497,311,2609,898,1154,1003,593,794,879,793,821,941,857,597,526,507,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2011",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1770546,872974,53443,55269,58413,30940,26238,58129,54802,55543,114001,125266,115850,76171,37675,11234,897572,50122,49857,56913,32870,27130,53270,52003,51693,112427,125473,122270,85108,56937,21499,1115359,524796,46489,40520,52852,27945,22081,46205,34718,33092,62902,67332,53674,24369,9998,2619,590563,43993,43624,45449,28289,25451,45287,39935,40648,80547,77376,62827,30980,18541,7616,27077,14365,1476,2143,1167,496,448,935,1024,1334,1857,2147,781,294,172,91,12712,277,1127,601,254,369,1124,1618,941,2254,1357,1568,598,526,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4486,3989,1823,3235,2789,1681,2213,2528,2031,2073,2070,1787,484,659,1311,1347,3486,1901,3427,3482,2080,2636,2992,1433,1738,2279,1578,566,499,1976,1948,5473,4635,2723,2691,2937,1759,2065,2537,2191,2677,3370,3367,1320,1456,1098,646,4271,2452,3457,3064,1875,2060,2588,2196,1870,2419,1551,988,1235,1331,946,3206,2147,1031,767,517,276,262,684,708,552,621,824,384,186,172,154,1752,226,626,383,212,260,588,833,484,727,492,593,355,324,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2011",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",4991510,2453418,149890,156505,160902,97911,68768,165924,163932,157045,304427,369782,321082,194542,104356,38352,2538092,143530,149310,150031,93715,66575,165758,160909,153935,302539,375409,339929,219438,141957,75057,688379,326511,24252,26411,26812,18192,12762,27516,24266,22271,41596,45401,31907,15161,7904,2060,361868,25366,25461,25063,17311,12777,27781,25659,24627,45969,52370,40647,21007,12222,5608,96187,47086,2596,3107,3726,1635,1854,4837,4846,4678,8495,4897,3222,2453,681,59,49101,2582,3561,2791,1329,1539,3830,4435,4765,10543,5105,5192,1747,1575,107,5692,2789,195,166,156,230,129,438,65,349,425,384,224,28,0,0,2903,73,241,197,205,292,351,147,348,562,348,139,0,0,0,"Missouri",7231,4764,1313,4555,4504,1157,1948,2316,1233,1652,1597,961,891,630,2625,2530,4033,1231,5638,5382,1278,1787,2171,1158,1082,1440,946,991,757,3282,3237,6563,4438,1546,1756,2447,1250,1056,1874,1371,1430,2251,1817,1054,622,877,429,4609,1301,2367,2208,1129,1112,1275,1134,1242,1941,1473,1001,683,1056,903,3149,2142,903,830,990,428,694,986,975,855,1140,759,467,449,354,86,2265,576,900,799,395,480,698,843,745,1168,723,659,510,577,95,1498,743,188,159,169,166,153,264,109,209,228,353,135,47,184,184,1000,113,215,201,190,288,365,139,323,276,328,125,184,184,184
"G300","2011",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",891294,448372,25801,27770,25000,17661,11659,31625,28409,27225,51248,65540,68672,39985,20800,6977,442922,24205,25124,24314,15265,12120,28483,26523,26162,49254,67188,67357,39513,24582,12832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",2197,1661,563,1700,1744,820,1006,1108,388,707,513,489,367,181,1013,1004,1328,533,1744,1762,447,683,750,364,514,488,654,377,96,1332,1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2011",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1624885,804872,54884,57238,50663,32126,23541,57308,55473,52794,97297,116089,103581,56860,33851,13167,820013,52254,49901,52557,29954,24795,52775,53957,50625,94540,117577,105513,62518,47877,25170,83693,41138,3252,3983,3276,2587,1868,3969,3505,2776,4918,5421,3052,1599,655,277,42555,3636,4119,3445,2358,1330,4153,3534,2951,5487,4888,3463,1820,1071,300,34517,16656,1051,1120,1756,853,922,1552,1877,936,3476,1365,1161,547,40,0,17861,1212,1104,846,468,605,2045,1782,1340,3511,2233,1667,677,336,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",5966,3995,1667,2576,2298,957,1052,1313,1024,1186,1364,1001,753,447,1108,1139,3351,1366,2704,2552,891,1428,1613,1271,1051,1113,1103,594,352,1534,1533,3632,2076,518,858,644,605,477,749,600,521,737,561,384,221,199,151,2378,940,852,788,506,483,650,464,673,653,498,355,150,212,176,1779,989,364,509,618,298,356,412,471,475,670,485,367,276,62,155,1184,430,379,392,263,272,460,470,440,874,656,436,315,251,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2011",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1948463,993196,63125,66127,57323,36019,22837,62316,69648,71416,137778,143427,128258,83376,39882,11664,955267,60049,63266,53817,34546,19807,58613,66579,62785,129444,131310,129096,83590,43100,19265,222551,110968,7447,8467,7909,5871,2855,9238,9563,8149,15994,16069,10223,6025,2448,710,111583,8024,8028,8066,6060,3300,9273,7837,7657,16347,14462,11222,6896,3464,947,194695,90172,4927,6538,5371,3585,2519,7225,5839,7219,14019,12584,10719,6599,2015,1013,104523,4393,4271,5522,2331,2137,5087,7157,7767,18377,17676,15596,9065,3869,1275,16360,7935,417,404,666,410,0,879,169,581,1968,800,655,939,47,0,8425,491,497,592,658,303,541,401,1091,1586,660,1016,523,66,0,"Nevada",15765,8529,2162,4034,3628,1601,1283,2276,2351,1927,2849,1919,1369,873,1380,1408,9413,2891,4098,3799,1759,1604,2505,2082,1868,2068,2089,1504,858,2196,2097,5616,3107,1449,1259,1456,726,454,298,707,561,1180,947,461,509,535,480,3666,1303,1632,1982,688,614,925,630,628,931,919,576,430,723,474,6015,3813,942,1504,1430,541,608,1420,1187,549,1386,1124,598,522,843,768,3663,1249,1195,1394,716,317,1167,992,855,1111,616,814,478,767,678,1595,1343,380,378,451,256,234,714,291,647,708,456,550,277,84,234,1042,373,495,558,525,401,446,417,723,761,734,461,350,113,234
"G330","2011",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1240868,612309,30666,34916,39123,25471,17941,41166,34506,33137,79951,105568,89347,47745,24334,8438,628559,28555,34968,35620,24205,18008,38825,33568,33332,81702,108367,91311,51239,33164,15695,14655,8529,665,331,777,126,131,608,1032,1277,1423,1057,823,181,0,98,6126,294,366,1056,317,371,677,396,403,610,1055,146,327,75,33,29002,13711,956,1001,1132,727,541,558,783,1285,3104,2051,935,236,384,18,15291,1225,1319,600,279,647,1719,889,1613,3585,1772,964,503,105,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",2868,2061,781,2077,2129,279,449,1032,465,351,824,571,443,280,1186,1180,1481,277,2229,2086,338,672,848,559,478,817,617,390,299,1230,1229,1344,964,425,288,335,151,147,452,616,870,533,401,420,170,184,132,797,194,283,528,256,270,352,314,383,407,452,150,274,106,56,2149,1463,502,509,413,384,342,367,287,582,590,666,348,186,257,33,1306,450,549,316,282,336,654,351,642,797,442,426,304,171,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
