GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IG5E001,IG5E002,IG5E003,IG5E004,IG5E005,IG5E006,IG5E007,IG5E008,IG5E009,IG5E010,IG5E011,IG5E012,IG5E013,IG5E014,IG5E015,IG5E016,IG5E017,IG5E018,IG5E019,IG5E020,IG5E021,IG5E022,IG5E023,IG5E024,IG5E025,IG5E026,IG5E027,IG5E028,IG5E029,IG5E030,IG5E031,IG7E001,IG7E002,IG7E003,IG7E004,IG7E005,IG7E006,IG7E007,IG7E008,IG7E009,IG7E010,IG7E011,IG7E012,IG7E013,IG7E014,IG7E015,IG7E016,IG7E017,IG7E018,IG7E019,IG7E020,IG7E021,IG7E022,IG7E023,IG7E024,IG7E025,IG7E026,IG7E027,IG7E028,IG7E029,IG7E030,IG7E031,IHBE001,IHBE002,IHBE003,IHBE004,IHBE005,IHBE006,IHBE007,IHBE008,IHBE009,IHBE010,IHBE011,IHBE012,IHBE013,IHBE014,IHBE015,IHBE016,IHBE017,IHBE018,IHBE019,IHBE020,IHBE021,IHBE022,IHBE023,IHBE024,IHBE025,IHBE026,IHBE027,IHBE028,IHBE029,IHBE030,IHBE031,IHDE001,IHDE002,IHDE003,IHDE004,IHDE005,IHDE006,IHDE007,IHDE008,IHDE009,IHDE010,IHDE011,IHDE012,IHDE013,IHDE014,IHDE015,IHDE016,IHDE017,IHDE018,IHDE019,IHDE020,IHDE021,IHDE022,IHDE023,IHDE024,IHDE025,IHDE026,IHDE027,IHDE028,IHDE029,IHDE030,IHDE031,NAME_M,IG5M001,IG5M002,IG5M003,IG5M004,IG5M005,IG5M006,IG5M007,IG5M008,IG5M009,IG5M010,IG5M011,IG5M012,IG5M013,IG5M014,IG5M015,IG5M016,IG5M017,IG5M018,IG5M019,IG5M020,IG5M021,IG5M022,IG5M023,IG5M024,IG5M025,IG5M026,IG5M027,IG5M028,IG5M029,IG5M030,IG5M031,IG7M001,IG7M002,IG7M003,IG7M004,IG7M005,IG7M006,IG7M007,IG7M008,IG7M009,IG7M010,IG7M011,IG7M012,IG7M013,IG7M014,IG7M015,IG7M016,IG7M017,IG7M018,IG7M019,IG7M020,IG7M021,IG7M022,IG7M023,IG7M024,IG7M025,IG7M026,IG7M027,IG7M028,IG7M029,IG7M030,IG7M031,IHBM001,IHBM002,IHBM003,IHBM004,IHBM005,IHBM006,IHBM007,IHBM008,IHBM009,IHBM010,IHBM011,IHBM012,IHBM013,IHBM014,IHBM015,IHBM016,IHBM017,IHBM018,IHBM019,IHBM020,IHBM021,IHBM022,IHBM023,IHBM024,IHBM025,IHBM026,IHBM027,IHBM028,IHBM029,IHBM030,IHBM031,IHDM001,IHDM002,IHDM003,IHDM004,IHDM005,IHDM006,IHDM007,IHDM008,IHDM009,IHDM010,IHDM011,IHDM012,IHDM013,IHDM014,IHDM015,IHDM016,IHDM017,IHDM018,IHDM019,IHDM020,IHDM021,IHDM022,IHDM023,IHDM024,IHDM025,IHDM026,IHDM027,IHDM028,IHDM029,IHDM030,IHDM031
"G130","2010",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",5895315,2916178,182807,198520,192556,115728,82835,198309,188842,188834,421392,440004,363641,214189,101405,27116,2979137,176893,187511,181212,108850,77091,186618,185738,184694,415910,442425,385980,241459,140738,64018,2976758,1395341,115570,117272,123283,82018,53762,113133,96846,95133,200864,189915,127043,55789,19256,5457,1581417,113390,116770,116085,74060,55977,115746,112567,119725,240803,224549,159796,76490,37135,18324,316098,153878,9569,12661,11837,6627,6459,11365,12312,10873,27775,23335,12442,6349,1761,513,162220,10165,12078,8929,6389,4621,11024,13669,14683,30408,24091,14647,7907,2802,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",17303,11240,3352,5885,5558,2600,3670,4769,3783,2636,3737,2507,1995,1219,2490,2097,9445,2928,4809,5485,2349,3884,4788,2951,2315,3933,2319,1987,1356,3205,3110,9979,6005,3340,5098,5823,2547,3450,3758,2998,2836,3836,3144,2188,2113,1699,1057,7798,3324,4643,4811,2351,3428,3352,2573,2900,4040,3144,2060,2133,2094,2287,5145,3833,856,1499,1501,1018,1423,1251,1017,785,1357,1285,964,820,604,326,2856,916,1166,1177,806,1371,1383,932,1262,1359,1302,1081,863,828,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2010",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",335563,181320,7623,7479,5612,3276,4040,16036,15927,13914,24295,27936,30299,15419,7316,2148,154243,7215,5073,6958,2851,2612,11042,12579,11117,18660,25000,26577,13650,7038,3871,20345,12716,566,992,516,260,518,1932,600,966,2566,1723,1356,563,93,65,7629,529,678,369,276,635,582,722,547,1265,1093,539,174,168,52,530937,245907,8325,10391,13941,8265,4772,12953,15381,14174,32294,39908,37738,23381,16473,7911,285030,9153,11703,11389,7534,3854,15123,14471,15173,39085,46168,43526,28742,25185,13924,134881,68796,6329,5555,6132,4156,2362,5895,5442,3921,10271,8593,5550,2768,1654,168,66085,5286,4553,5968,3590,1790,5178,5537,4932,9343,8276,5891,3511,1803,427,"Hawaii",4302,2925,870,1269,927,584,706,1050,693,794,742,594,355,461,749,551,2457,974,916,1129,513,486,1029,667,693,602,620,359,315,847,731,1676,1056,360,558,297,168,388,705,363,362,384,287,641,412,162,111,1050,381,458,396,204,590,466,530,360,474,492,345,235,197,79,9464,5203,1532,1539,1836,1034,866,1414,1050,1211,1833,1464,1304,784,1195,1133,5676,1463,1678,1574,975,866,1303,1063,1289,1609,1377,1134,1077,1216,1304,4613,2515,862,899,764,482,519,777,799,884,1020,716,754,486,338,167,3149,879,949,887,640,480,937,472,600,866,648,632,571,479,244
"G160","2010",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1449223,727641,55275,54005,56600,32409,21572,49711,49879,47185,89933,97274,85951,52317,26303,9227,721582,52443,51987,51560,29217,19951,48294,46831,46622,87093,97876,86835,54718,31895,16260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18718,8100,466,729,857,792,70,153,708,392,1374,1466,285,306,341,161,10618,697,917,547,253,265,886,679,969,2592,1105,742,441,354,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",5879,3682,1156,2955,3119,1086,1500,2084,1565,1145,1230,1175,617,652,1231,1215,3549,1284,2669,2682,1010,1263,1264,1000,1072,1273,1139,702,615,1616,1685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,1153,244,429,409,391,100,163,489,336,531,580,222,227,233,157,1405,473,415,320,241,187,425,450,495,683,505,378,388,276,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2010",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9305662,4588402,273318,282838,302875,189211,127280,310795,321322,303606,621120,712120,574038,320379,185858,63642,4717260,262332,274914,279607,177811,124386,292037,312872,295290,605488,720293,597328,370225,253987,150690,1866145,870854,67344,70789,78383,53781,35687,70387,57051,53836,113028,117465,83655,43443,20518,5487,995291,64397,67455,77409,50849,34242,73716,66447,64062,135546,142173,107824,61581,33601,15989,590174,282094,20140,17915,16985,9781,8294,22066,24954,25775,48136,34847,29051,16234,6443,1473,308080,18117,19235,18058,8395,10368,21345,28774,28912,52004,39054,34556,18901,7555,2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",28467,15322,3959,6505,6985,2495,2719,3951,3529,3376,3615,3229,2005,1422,2859,2734,15225,3593,6349,5937,2296,3197,3955,2783,2470,3784,2446,2262,1576,4386,4417,10533,6132,1802,3684,3702,1717,1952,2217,1861,1911,2903,1948,1537,1153,1154,1073,6615,1722,3938,3633,1425,2342,2671,1859,1291,2258,2033,1310,1080,1692,1562,6216,5002,1208,1811,1791,735,865,1273,1321,1317,1675,1369,781,720,686,547,4770,1418,1763,1511,885,3406,1574,1076,900,1615,848,1013,837,924,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2010",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5522578,2722402,174104,184949,184166,116259,79892,190738,175894,172739,355492,413775,340667,195617,108077,30033,2800176,163995,177895,171013,108160,78367,185430,171896,166821,354876,418417,356549,222352,150070,74335,587044,280016,24735,23851,25407,14898,11498,22568,18990,19035,37144,38119,24594,11166,6402,1609,307028,23391,26201,22321,14540,10883,23979,22403,21139,41148,42193,29039,16765,9393,3633,102920,48795,3032,3930,2932,1660,2990,6412,5304,4398,8034,5479,2844,1233,547,0,54125,3998,3804,4083,1700,1768,5726,5001,5835,8941,6123,4388,1715,944,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",9035,5730,1896,4712,4393,1393,1816,2525,2290,2192,1966,1568,947,775,2374,2304,5607,2051,4999,4759,1513,2812,2794,1504,1274,1529,1267,1098,689,3009,2995,7499,4331,1722,2155,2169,949,1428,1370,1354,1674,1943,1977,989,870,679,452,4581,1311,2187,2143,1077,997,1502,1027,898,1537,1268,901,815,749,659,3317,2375,788,932,598,714,961,1031,1185,882,1390,956,589,414,300,267,2524,898,858,796,573,595,1001,1279,1034,1140,963,686,516,477,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2010",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2791596,1374296,86300,86860,92115,56011,44307,92115,89177,83837,166757,207423,179770,103437,62064,24123,1417300,82691,86940,82460,54370,39435,92042,86568,81548,165024,208712,182955,116099,87706,50750,95190,46535,4317,4279,4775,2769,2115,4697,3244,3598,6152,5767,3325,1049,448,0,48655,5653,4423,5060,3205,2873,3948,2779,4204,5784,4396,3564,1376,856,534,51756,24865,1875,1821,1900,805,1062,2671,2360,2310,4587,2990,1949,343,192,0,26891,2613,2097,1986,725,1031,3355,2735,2780,3881,2783,1525,891,455,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",6364,3854,1250,2952,2947,1314,1831,2126,1269,882,1146,1103,567,305,1431,1459,3744,1346,3597,3383,1171,1567,1821,1159,933,1403,914,826,432,2445,2396,4381,2668,777,936,973,892,837,1505,922,1075,788,924,678,529,278,228,3402,1201,1260,1159,913,854,1098,776,927,1156,884,704,458,308,325,2060,1472,541,541,566,353,491,645,878,799,869,949,354,262,160,228,1521,607,561,626,330,438,701,579,849,709,524,401,419,217,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2010",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2436845,1205303,80677,84493,81853,50664,37051,85750,82161,74330,148564,178083,149693,83037,48608,20339,1231542,77061,80379,77481,47368,34185,81874,79945,74599,146246,180297,152075,93596,68713,37723,164819,83417,6739,8153,5366,3645,3694,6368,6751,5883,11235,12337,6946,4209,1400,691,81402,7798,5632,6252,4138,3141,7150,5283,4464,10088,11518,7355,4964,2617,1002,70972,33470,2485,3362,2078,1656,991,3036,3319,2873,5991,3546,2608,1163,311,51,37502,3333,2802,2815,1561,1069,2910,3408,3078,6994,4378,3018,1549,552,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7539,5051,2019,3626,3877,1433,2166,2743,1408,1585,1872,1600,834,798,1858,1671,4499,1960,2526,2651,1545,2619,2655,1745,1616,1601,999,878,716,1887,1737,4262,2898,1006,965,1090,839,1013,1213,1209,1068,1195,1139,759,634,445,366,2723,934,895,1236,683,845,1026,802,484,1246,1352,620,688,577,343,2331,1520,768,901,661,522,502,755,886,535,762,656,590,526,278,87,1735,599,598,789,505,469,906,845,687,704,761,616,483,280,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2010",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3837101,1885334,119055,119128,128114,77200,55540,125757,122961,121110,255408,284198,242212,143971,71223,19457,1951767,111648,116400,117396,71233,51598,125164,121192,122908,254101,293116,257024,162916,100555,46516,336561,166401,13940,12764,14591,8154,6903,15436,12666,12101,21727,22076,15190,6312,3804,737,170160,13245,11173,11973,6377,6482,14043,11872,13040,21602,25181,18710,8285,5645,2532,47895,21339,2089,2054,995,552,529,1836,2068,1566,5046,2188,1341,667,316,92,26556,1589,1996,2675,651,872,2005,2269,2079,5244,3011,2547,1111,434,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",6473,5135,1358,4286,3869,2143,2771,3150,2134,1185,1682,1026,551,732,1706,1710,3978,1479,4126,3800,1795,2354,2515,1544,1077,1459,1005,711,305,2538,2471,6038,3943,1481,1880,1633,972,1783,1671,1432,1531,1533,1218,1041,772,554,354,4415,1296,1757,1605,822,1217,1234,1053,1525,1485,1403,1276,968,814,771,3077,1804,727,752,451,336,384,722,677,440,945,696,474,360,333,161,1994,511,689,820,302,513,1062,1134,764,1116,893,627,415,402,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2010",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2855924,1414289,86859,84598,91645,53778,40012,99206,101810,92302,183928,214208,182702,108441,57911,16889,1441635,81760,85130,81655,50728,37610,95589,97067,88299,177832,217370,190200,122382,80426,35587,1455478,693581,60758,60413,58109,39468,26383,61706,47259,46503,84285,90005,69828,32312,12847,3705,761897,58789,59362,55243,34399,25500,63269,57867,51832,94986,102953,81762,42087,23873,9975,71476,35536,2108,3109,2279,865,970,3789,3440,3159,5980,3943,3488,1933,326,147,35940,1617,2557,2265,938,1311,3231,3849,3282,6676,4284,3200,1518,970,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",5605,3764,1634,3869,3938,1496,2422,2603,1929,1534,1741,1380,887,1009,1855,1685,3215,1251,3362,3293,1367,1959,2318,1451,1108,1242,1251,795,714,2504,2421,7095,4653,2194,3378,3091,2203,1975,2647,2396,2714,3387,2762,1265,1390,1199,941,4858,2398,3469,3533,1962,1862,2763,2091,1971,2875,1828,1130,1270,1458,1265,3183,1819,516,939,597,316,535,810,983,781,1260,845,947,622,223,177,1956,507,807,579,449,640,845,784,777,1348,890,759,559,415,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2010",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1265687,618840,31929,35317,37229,24559,17789,37915,34056,33133,80489,102861,92351,52895,29762,8555,646847,30207,32134,36002,23058,16022,37234,34270,34620,82552,107782,95874,58166,39792,19134,15121,8886,1199,1116,770,601,276,850,799,402,1596,759,307,176,35,0,6235,972,831,557,293,384,490,782,364,679,536,197,92,58,0,13678,5162,148,434,184,400,297,679,683,78,1032,699,407,77,44,0,8516,243,465,1341,158,321,861,740,679,1819,639,846,217,187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1414,941,291,1877,1805,318,668,557,343,483,566,235,258,159,1075,1047,951,427,2196,2108,200,715,854,236,366,328,367,171,259,1512,1493,1625,1192,412,452,355,278,188,467,475,273,581,422,255,159,58,230,1060,453,288,251,170,270,360,350,308,378,245,155,123,73,230,1224,821,157,280,186,319,187,470,552,136,660,433,263,122,71,230,1136,214,384,592,192,215,786,353,387,631,415,432,203,218,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2010",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3408003,1670459,94069,100698,100700,67017,46992,108692,110063,100034,218022,275797,225930,126778,70209,25458,1737544,89539,97310,96173,62801,42488,103094,108488,98953,225562,281574,237674,142666,98411,52811,1701903,794340,60777,57020,65030,42979,28922,60179,56877,50800,113209,119652,78756,39435,17309,3395,907563,56916,57815,59683,40428,29553,64719,62498,63186,134770,141946,103842,53100,27829,11278,319965,152233,11831,9635,10468,5597,3495,10668,12020,12858,25602,21470,15533,8832,3334,890,167732,9059,11074,9988,4544,3835,9901,13979,15854,30607,24410,17587,11113,4406,1375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",10960,6461,1720,4129,3585,1447,2017,2274,1864,1770,2342,1685,1114,984,1839,1855,5770,1583,3966,3613,1308,1535,1871,1654,1531,2096,1349,1101,763,2818,2784,7464,4557,2020,3149,3417,1192,1569,1921,1477,1813,1841,1949,966,921,1037,690,5206,1846,4017,3657,1311,1778,1755,1529,1416,1805,1266,1331,1237,1499,1453,4433,2839,869,1167,1249,687,661,783,873,697,1005,1024,821,639,698,463,2477,941,1438,1523,569,755,1136,880,774,1009,908,952,904,778,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2010",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5320148,2567215,132936,150813,158459,103630,76024,181616,164369,149833,344541,419169,341360,188880,116490,39095,2752933,128568,149120,149014,98604,74605,181335,166894,153673,359166,439485,370030,222924,162568,96947,443271,215914,16673,16931,17791,11740,9524,20570,15836,13795,31150,29773,18931,8363,3753,1084,227357,16565,15431,17031,10877,9484,20197,16241,16300,32621,29517,21183,12438,6485,2987,353211,168488,13097,10342,11328,5707,6672,16111,16158,15223,28456,21166,12757,6714,3780,977,184723,11891,12663,9212,5410,6625,18091,19138,17901,32184,22698,15385,7736,4180,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",13075,7448,1995,4293,4309,1360,1415,2029,1866,1879,2501,1755,1510,808,2315,2337,7578,2021,5092,5748,1288,1175,1757,1727,1794,2361,1977,1811,1078,3435,3517,6703,4043,1390,1884,2123,1123,1143,1992,1719,1059,1803,1526,1111,800,717,500,4563,1318,1974,1906,1064,1303,1457,938,966,1371,1604,854,786,921,868,4785,2905,1041,1132,1192,742,865,1109,774,774,1073,837,733,722,599,378,2964,1134,1482,1390,675,1387,1169,998,712,976,803,788,693,760,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2010",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7834808,3862057,214250,238928,256152,165160,114948,257306,230195,222179,498277,620225,523565,298956,166714,55202,3972751,207423,222224,247203,152896,110638,247739,223102,221249,496641,628173,539566,332973,226183,116741,1385311,657345,50654,49901,55820,39990,27083,55991,40416,40307,90495,87231,66738,30963,16752,5004,727966,49011,48789,52796,37048,27315,53285,46218,45480,100992,102993,83757,41578,25601,13103,241095,116459,9199,9193,9596,4725,4663,11059,8942,9195,20190,13419,8612,5231,2297,138,124636,8165,11927,7704,4262,4097,11152,9704,11773,21370,14519,11066,5519,2677,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",10593,6726,1950,5564,5354,1374,1837,1929,1502,1453,2063,1283,1082,776,2271,2344,6090,1781,4776,4907,1251,1753,2403,1328,1702,1680,1355,1299,935,3443,3462,7695,5577,1719,2876,3237,1084,1716,2050,1713,1483,1764,1724,928,1100,1046,900,4276,1872,2702,3159,1307,1336,1594,998,1343,1582,1262,1068,931,1510,1458,4236,2960,1071,1240,1220,828,780,1058,678,810,1013,993,719,573,576,138,2567,758,1165,1062,639,832,1177,976,844,957,727,844,716,716,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2010",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4573199,2265795,137197,134257,152436,91707,60257,147287,155391,147773,291370,366445,294531,161156,92990,32998,2307404,131895,132878,138190,86559,59743,140997,152779,140093,288884,367344,297815,177028,122587,70612,273680,140755,15030,14174,12839,7326,4819,12031,12075,12727,20150,15677,9792,2418,1561,136,132925,14724,12706,12962,6745,4626,13564,12027,9465,17849,13806,8400,4151,1506,394,209834,101807,9926,9691,8455,5426,4142,10061,10075,7261,15734,9998,6173,3139,1395,331,108027,9467,9691,8998,4677,4352,9624,11075,9389,16711,10477,6867,4721,1118,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",6828,3834,1250,3681,3930,720,1133,1463,1129,1208,1347,1028,673,472,2220,2183,4102,1804,4166,3749,651,1168,1264,1064,872,1383,1114,723,580,2610,2564,6367,3526,1336,1551,1488,967,606,1178,1197,1596,1685,899,932,304,417,143,3943,1236,1828,1774,934,645,1440,993,740,1088,932,832,636,410,241,3915,2362,924,1106,1074,652,547,916,936,890,841,818,748,599,457,197,2925,1085,1146,1363,698,607,936,1297,791,1004,835,624,792,389,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2010",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1767532,870267,51751,55738,57609,33132,25787,60184,54141,52025,116821,126833,114330,74341,39163,8412,897265,52903,54047,50467,32346,22454,57316,53213,52944,111293,127714,119207,84748,55349,23264,1109263,522043,47486,45303,45492,28514,22241,43744,35401,34391,67630,66027,49360,23674,9892,2888,587220,45928,41690,47121,30840,21832,46449,41531,38898,76663,81271,57953,31650,16842,8552,26354,13218,1087,830,1461,224,650,1645,1338,795,1391,1270,1516,670,324,17,13136,813,471,462,611,168,1091,1062,1310,2643,1632,2346,214,313,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4916,3670,1409,3432,3514,1605,1922,2371,1937,1680,2324,1500,832,697,1265,1297,3701,1780,3288,3248,1662,2419,2507,2011,1764,1644,1267,757,506,2110,1982,5953,4692,2279,2925,2840,1902,2012,2463,2168,2875,2868,2491,1500,1500,1236,722,4017,2157,2910,2658,2061,1880,2477,1966,2085,2386,1935,908,1538,1497,1193,2849,2142,545,612,769,214,381,946,565,356,722,587,551,408,232,41,1465,418,281,262,393,170,670,485,574,918,563,817,195,234,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2010",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",4983469,2447882,151855,153876,164664,99682,66968,166725,164415,151444,309048,377157,310412,191510,104782,35344,2535587,144522,147529,152074,94154,66055,166265,162155,150012,308820,382538,329076,214782,142466,75139,703257,332162,28708,28703,26745,19207,15783,28788,22386,22052,40589,47025,29134,14404,7505,1133,371095,26488,24653,29604,18498,14195,29315,26597,25194,48287,51348,37261,21757,11529,6369,93404,43055,2498,3114,2342,1442,2390,5095,3814,4524,7454,4544,2864,2199,707,68,50349,2580,3874,2936,1750,1673,4852,4677,4752,9356,5995,4421,2527,660,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",6146,4107,1498,4843,4829,1196,2384,2357,1054,1378,1724,1246,653,829,2621,2640,3718,1249,3987,3969,1492,1977,2671,1286,1318,1286,1318,941,1595,3633,3786,6390,4500,1606,2208,2164,996,1835,2773,1397,1536,1742,2242,1018,611,575,510,3671,1265,2452,2713,937,1672,2433,1345,1103,1780,1500,1079,998,908,952,3684,2427,545,899,670,535,736,886,712,770,1139,760,541,502,297,108,2513,720,822,825,644,627,1236,1135,819,1112,940,765,639,315,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2010",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",890335,448707,25154,25379,27973,17958,12896,30320,29016,27228,51622,68646,66805,38523,21213,5974,441628,25307,24643,23961,16228,12257,26994,26744,25311,49850,69611,65141,38573,23428,13580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1948,1646,491,1576,1601,798,1298,1476,612,725,593,599,506,125,869,822,1524,756,2236,2156,523,949,964,359,403,430,441,380,286,1199,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2010",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1627046,806546,55977,54201,55305,32083,23794,57719,56116,51592,98733,118972,99319,55387,34677,12671,820500,52107,51948,51651,31445,23246,54695,54311,49744,96441,117847,100670,61569,47870,26956,80630,41131,3841,3206,4017,2342,1173,3562,3506,3209,4963,5580,3556,1311,808,57,39499,3797,3664,2988,2260,1452,2969,3506,2485,4746,4974,3668,1635,1175,180,29248,13505,1609,917,1034,305,1268,1504,786,595,3025,1326,638,256,50,192,15743,1169,1522,847,506,450,1275,1639,1275,3123,1761,1320,572,260,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",5447,3641,1092,2434,2195,902,1308,1781,1333,1182,1357,1061,720,501,1307,1224,2950,1241,2490,2224,729,1567,1853,1198,1162,1275,898,1352,928,1790,2308,3687,2216,908,1001,838,311,569,782,643,807,503,639,489,295,376,105,2092,637,911,914,431,354,762,497,674,486,660,372,171,146,157,2336,1130,283,418,453,192,542,407,331,474,771,498,279,202,76,223,1564,282,423,425,260,344,674,717,730,833,607,532,344,198,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2010",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1970730,1004625,63901,65302,59920,37337,26723,61921,69908,70822,144748,146932,126916,81360,37835,11000,966105,59038,61995,61313,36443,23322,60937,65417,62647,131157,136684,126207,81724,44096,15125,216792,110124,8553,7154,9643,5475,3984,8223,9001,7420,16303,15563,9771,6062,2803,169,106668,8168,7836,7433,5737,3648,6822,8191,8081,14612,14783,10841,6655,3144,717,197350,88405,5058,4944,5684,4084,2692,6221,6488,6491,14711,12786,9742,6044,2606,854,108945,4783,4132,6752,3695,2528,7192,7796,8081,18110,17537,15092,8464,4070,713,16279,9087,730,918,950,583,0,1320,309,645,1270,1038,340,828,156,0,7192,687,500,277,92,241,936,543,895,1281,599,819,195,127,0,"Nevada",13285,7928,1871,3550,3678,1486,1605,2074,1958,1877,2658,1490,1237,841,1400,1406,7360,2235,3402,3376,1631,1324,1679,1871,1545,2167,1626,1233,909,1816,1719,5005,2693,947,1350,1480,570,239,516,795,781,754,592,563,598,331,211,3170,880,1074,1301,481,212,1217,824,583,756,709,744,481,422,402,4935,2834,810,1256,1266,691,428,936,679,861,1091,701,604,277,551,422,2898,1200,1197,1392,737,481,660,624,966,861,738,838,500,487,382,1836,1432,505,589,543,463,309,741,462,430,575,529,227,330,183,309,1247,599,499,427,151,383,613,553,559,363,258,226,201,139,309
"G330","2010",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,"New Hampshire",1238424,608825,31607,33562,41288,25653,17688,40201,33733,31902,82121,107268,85695,46048,24448,7611,629599,29922,37149,35370,24790,18715,38599,32525,33487,83850,109217,87799,49595,32756,15825,15448,8217,321,546,708,403,122,1046,440,962,1798,990,601,240,40,0,7231,716,931,567,401,527,957,420,613,955,568,293,283,0,0,28125,13317,1256,1368,1240,293,300,1052,1074,1249,2425,1397,1165,421,77,0,14808,1063,1502,1147,308,332,472,1580,1789,2591,2147,1254,454,169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",3420,2015,777,2088,2020,397,373,781,694,822,857,774,301,462,1108,1096,2010,717,2531,2468,575,919,1120,826,585,657,837,267,437,1524,1478,1479,1285,208,321,328,322,149,526,279,487,364,809,333,165,65,257,1444,454,850,397,184,287,419,346,447,653,275,197,255,257,257,1529,1234,249,516,448,202,191,516,600,331,382,317,431,251,103,257,1032,325,576,404,244,259,275,456,465,724,557,349,279,119,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
