GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,AAADE001,AAADE002,AAADE003,AAADE004,AAADE005,AAADE006,AAADE007,AAADE008,AAADE009,AAADE010,AAADE011,AAADE012,AAADE013,AAADE014,AAADE015,AAADE016,AAADE017,AAADE018,AAADE019,AAADE020,AAADE021,AAADE022,AAADE023,AAADE024,AAADE025,AAADE026,AAADE027,AAADE028,AAADE029,AAADE030,AAADE031,AAAFE001,AAAFE002,AAAFE003,AAAFE004,AAAFE005,AAAFE006,AAAFE007,AAAFE008,AAAFE009,AAAFE010,AAAFE011,AAAFE012,AAAFE013,AAAFE014,AAAFE015,AAAFE016,AAAFE017,AAAFE018,AAAFE019,AAAFE020,AAAFE021,AAAFE022,AAAFE023,AAAFE024,AAAFE025,AAAFE026,AAAFE027,AAAFE028,AAAFE029,AAAFE030,AAAFE031,AAAJE001,AAAJE002,AAAJE003,AAAJE004,AAAJE005,AAAJE006,AAAJE007,AAAJE008,AAAJE009,AAAJE010,AAAJE011,AAAJE012,AAAJE013,AAAJE014,AAAJE015,AAAJE016,AAAJE017,AAAJE018,AAAJE019,AAAJE020,AAAJE021,AAAJE022,AAAJE023,AAAJE024,AAAJE025,AAAJE026,AAAJE027,AAAJE028,AAAJE029,AAAJE030,AAAJE031,AAALE001,AAALE002,AAALE003,AAALE004,AAALE005,AAALE006,AAALE007,AAALE008,AAALE009,AAALE010,AAALE011,AAALE012,AAALE013,AAALE014,AAALE015,AAALE016,AAALE017,AAALE018,AAALE019,AAALE020,AAALE021,AAALE022,AAALE023,AAALE024,AAALE025,AAALE026,AAALE027,AAALE028,AAALE029,AAALE030,AAALE031,NAME_M,AAADM001,AAADM002,AAADM003,AAADM004,AAADM005,AAADM006,AAADM007,AAADM008,AAADM009,AAADM010,AAADM011,AAADM012,AAADM013,AAADM014,AAADM015,AAADM016,AAADM017,AAADM018,AAADM019,AAADM020,AAADM021,AAADM022,AAADM023,AAADM024,AAADM025,AAADM026,AAADM027,AAADM028,AAADM029,AAADM030,AAADM031,AAAFM001,AAAFM002,AAAFM003,AAAFM004,AAAFM005,AAAFM006,AAAFM007,AAAFM008,AAAFM009,AAAFM010,AAAFM011,AAAFM012,AAAFM013,AAAFM014,AAAFM015,AAAFM016,AAAFM017,AAAFM018,AAAFM019,AAAFM020,AAAFM021,AAAFM022,AAAFM023,AAAFM024,AAAFM025,AAAFM026,AAAFM027,AAAFM028,AAAFM029,AAAFM030,AAAFM031,AAAJM001,AAAJM002,AAAJM003,AAAJM004,AAAJM005,AAAJM006,AAAJM007,AAAJM008,AAAJM009,AAAJM010,AAAJM011,AAAJM012,AAAJM013,AAAJM014,AAAJM015,AAAJM016,AAAJM017,AAAJM018,AAAJM019,AAAJM020,AAAJM021,AAAJM022,AAAJM023,AAAJM024,AAAJM025,AAAJM026,AAAJM027,AAAJM028,AAAJM029,AAAJM030,AAAJM031,AAALM001,AAALM002,AAALM003,AAALM004,AAALM005,AAALM006,AAALM007,AAALM008,AAALM009,AAALM010,AAALM011,AAALM012,AAALM013,AAALM014,AAALM015,AAALM016,AAALM017,AAALM018,AAALM019,AAALM020,AAALM021,AAALM022,AAALM023,AAALM024,AAALM025,AAALM026,AAALM027,AAALM028,AAALM029,AAALM030,AAALM031
"G130","2014",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",6043917,2999157,175129,195555,196896,117245,89399,207522,195399,192670,402955,434637,379033,265234,113273,34210,3044760,167354,180476,188401,110761,76610,189637,189136,190910,398668,432726,404111,295290,154274,66406,3163620,1482625,110797,122991,124803,74320,56996,126421,107008,105162,202380,194163,150499,75570,25239,6276,1680995,110146,117963,122668,70991,52107,131140,125514,125105,241772,228642,186036,102031,47061,19819,371688,180253,12913,11989,12586,7918,4983,13594,14666,14734,31790,26066,16422,9237,2709,646,191435,9802,11913,11908,7095,5981,13096,13954,18367,38319,26809,17503,11653,4119,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",17213,9967,3189,6302,5946,2453,4180,3817,2633,3326,3988,3115,1602,1434,2390,2189,9489,3158,5138,5413,2689,3374,4195,2814,2688,3757,2668,1638,1285,2678,2632,12109,7927,3362,5116,5078,3086,3386,3514,3133,3342,3624,3668,2034,2113,1776,1334,8234,3020,4818,5121,2280,3027,3534,3633,3526,4241,3544,1770,1865,2145,2128,5501,3802,1126,1355,1548,1147,813,1224,1225,964,1648,1440,1076,976,622,483,3227,1067,1674,1836,773,1041,1455,1069,1094,1896,1510,1054,980,646,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","2014",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",360711,200259,9585,7566,7394,3486,4261,19574,21106,16163,27144,24466,28323,21030,6585,3576,160452,8077,7549,4691,3491,3244,10306,14416,13180,18713,20091,26519,18359,8369,3447,30729,18550,853,777,859,444,1116,2534,2217,2295,3280,1847,1563,295,391,79,12179,1215,890,909,318,331,1543,1135,1616,1803,999,733,429,258,0,534189,245910,9962,10777,13256,7403,4161,13774,14468,13611,30768,38058,37824,27315,15546,8987,288279,10795,9666,11886,8170,4604,12871,16359,16909,34398,43871,44749,34369,21067,18565,147612,73228,4466,7020,5743,3229,2317,6643,5664,5740,9464,9762,7295,3712,1715,458,74384,5793,5798,6053,3197,2499,6137,5610,5705,9317,9647,7108,4391,2443,686,"Hawaii",3547,2168,831,1056,1056,615,710,970,829,861,980,734,467,302,762,757,2669,885,1060,766,668,609,661,669,933,778,427,533,240,743,710,2376,1526,542,399,602,158,729,676,650,407,424,258,492,181,271,133,1538,712,297,261,159,279,325,545,697,250,297,285,312,225,181,9753,5426,1177,1469,1654,697,634,1184,1117,1179,1564,1401,1087,1142,1039,1069,5589,1369,1390,1237,925,754,1260,1213,1037,1697,1513,1203,990,1571,1398,5023,2870,659,1009,965,413,609,780,882,731,982,714,797,701,437,305,3108,777,1032,1035,604,507,708,696,816,992,861,547,868,639,361
"G160","2014",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1498107,748200,48955,57932,54617,33546,21278,52295,46403,48858,93632,92454,91944,66599,29565,10122,749907,48711,51898,55324,30267,19459,46272,48689,49280,92136,91874,96635,68004,35809,15549,11354,5665,205,416,948,120,251,1386,551,380,586,338,179,70,235,0,5689,585,592,878,838,502,478,83,404,337,309,324,237,68,54,24009,10397,357,1512,443,386,96,977,893,1576,1440,928,1007,566,113,103,13612,548,730,1025,397,843,1275,883,1015,2138,1819,1416,932,494,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",5221,3555,1415,2852,2961,1239,1788,1879,916,1215,1631,1408,1078,805,1488,1401,3126,1328,2957,2974,1189,1410,1612,1380,1228,1553,1010,855,779,1678,1722,1682,1063,166,348,434,209,213,1003,392,274,419,270,169,104,295,190,1146,673,467,561,500,488,313,54,270,297,239,276,297,123,83,3453,2074,353,1052,299,244,146,560,466,710,520,419,496,318,129,138,1694,391,369,508,250,512,715,450,570,738,706,575,436,322,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","2014",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",9290445,4585387,264855,273565,295132,178317,121462,306423,312358,316143,591303,666435,621524,379643,187269,70958,4705058,253175,264181,274298,169926,115922,295874,302734,308509,580038,666754,643879,426644,259885,143239,1837715,859895,62773,61271,67648,42925,32309,80028,62876,56370,108491,111440,94602,50123,22412,6627,977820,59974,67140,63471,44230,29239,79511,67828,64572,125892,131571,120557,70118,37877,15840,663454,319571,19231,19060,20387,11037,7876,24834,28592,31361,52541,40642,32866,21406,8092,1646,343883,19347,21111,18426,10199,7525,23558,29773,30946,59656,45914,38457,24505,10861,3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",21829,10681,2384,6399,6119,2105,2480,3581,2683,3193,3489,3178,2052,1136,2855,2863,13205,3487,6325,5676,2233,2349,3459,2682,2590,3151,3115,2055,1562,4821,4770,10948,6267,1678,2709,3212,1520,1612,2178,1793,1677,2463,2027,1135,886,967,874,6624,1866,3087,2869,1459,1441,1910,1615,1579,2123,1580,1131,897,1450,1290,5604,3705,1380,1789,1687,852,623,1330,1425,1383,1178,1475,1235,748,771,607,3459,1241,1628,1516,723,912,1198,1114,1168,1367,1328,1109,821,914,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","2014",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",5547390,2733618,166693,182667,178905,111398,78747,194239,169432,172855,349203,383268,367555,229815,113038,35803,2813772,156502,162143,177958,107735,73210,191107,170286,171804,344194,387270,384168,259378,146060,81957,612890,291983,23564,26111,24156,14326,10135,27339,21201,19376,38227,36379,29238,14201,5902,1828,320907,24124,23469,25518,14098,10727,24934,24075,23120,42333,39455,34894,19463,9181,5516,130250,62665,4574,4414,3592,2533,4113,6579,5479,6865,11364,6563,3138,2418,929,104,67585,3467,5655,4963,2087,2794,6920,7353,7414,11252,7082,4875,2677,820,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",10643,5930,1711,6045,5596,1452,1985,2384,1548,1428,2560,1657,957,621,2399,2305,6745,1685,4966,5051,1606,2082,2517,1499,1687,1960,1599,1274,573,3127,3073,6872,4579,1423,2222,2619,1346,1009,1605,1191,1438,1507,1596,1207,842,829,513,4768,1656,2217,2413,1476,1369,1317,1457,1402,1704,1067,1167,1020,940,1010,3827,2182,735,941,991,644,1081,1141,952,1184,1307,995,483,609,379,110,2661,713,1213,992,585,591,1601,1281,1208,1165,857,696,673,352,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","2014",,,"Iowa","19",,,,,,,,,,,,,,,,,,"Iowa",2837758,1402384,84103,89089,95561,55467,39700,102446,85494,90764,165414,191076,193855,119952,64656,24807,1435374,81755,86074,87580,52000,43069,95454,82637,87749,163481,190262,196314,131675,88407,48917,97874,51196,4415,5061,3844,2635,3140,4234,4391,3794,7549,5857,4030,1704,426,116,46678,4282,3773,4564,2584,1692,4685,4449,4294,5208,4633,3270,1684,1133,427,68419,35795,3200,2471,2422,1450,1982,4590,3150,2551,6849,4079,1502,1218,294,37,32624,1978,1978,1702,1356,1377,3396,2788,3295,6878,3465,2571,938,666,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",4198,3040,869,3098,3211,1027,1655,1732,1190,907,1106,1274,708,440,1526,1478,2795,1066,2827,2524,1039,2042,2181,973,1065,1286,1085,636,504,2219,2277,3370,2487,776,1127,919,692,1015,793,1064,812,1063,947,597,450,252,125,2352,701,1045,1264,749,743,1081,1097,926,1227,835,524,440,322,267,3108,2428,1161,875,649,468,610,1201,779,584,1079,981,492,492,213,68,1638,585,602,636,489,492,835,642,819,1277,670,670,445,404,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","2014",,,"Kansas","20",,,,,,,,,,,,,,,,,,"Kansas",2466138,1221394,80320,85523,80536,49653,36056,91107,79814,83444,148417,157138,159614,98622,50479,20671,1244744,79747,77483,80422,46082,33605,83610,76390,80378,145507,161070,165501,107825,68762,38362,171976,88788,6057,7676,5693,4077,4459,8642,7931,6004,12240,9834,9860,3715,2149,451,83188,6619,7465,6097,4070,2665,6481,6137,6180,10101,9345,8642,4766,3456,1164,76245,36868,2478,2964,2581,1680,1638,3025,3622,3404,5854,4270,3125,1612,423,192,39377,2090,2039,2304,1443,1503,4592,3726,4181,7402,3840,3130,1660,1387,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",7001,4931,1858,3910,3443,1376,1832,2106,1476,1247,1835,1366,987,706,1655,1711,3863,1636,3021,3060,1390,2244,2336,1490,1120,1356,1167,1021,777,2096,2010,4756,2886,958,1330,1158,828,1189,990,1638,895,1353,975,703,698,546,247,3173,1081,1369,964,816,635,1057,752,827,824,706,670,518,646,433,2414,1957,654,677,557,530,502,900,712,514,906,691,449,383,263,179,1620,559,580,587,377,591,942,907,609,862,692,458,496,492,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","2014",,,"Kentucky","21",,,,,,,,,,,,,,,,,,"Kentucky",3858261,1899678,117131,122749,120775,75733,49300,134672,120416,121342,245828,269443,253663,168658,76057,23911,1958583,107858,115332,113584,68484,50439,126266,118800,122486,244991,276866,271359,190638,102044,49436,350141,175195,12674,12519,12733,8396,7318,17657,12074,13467,21790,23537,19723,8521,3726,1060,174946,10207,13161,12499,6285,6157,13158,12214,13289,21816,25416,21228,11318,5238,2960,54542,25088,1314,2770,1149,1018,715,2359,2098,2494,4637,3246,1689,924,334,341,29454,1816,1963,2088,1123,1031,2616,2561,2449,5437,4101,2293,1444,414,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",5024,3941,1367,4017,3578,1678,2358,2652,1627,1320,1405,998,606,321,1930,1921,3488,1529,4197,4221,1537,2355,2327,1145,1026,1235,1001,610,725,2485,2554,6964,5088,1034,1597,1623,1081,1097,1736,1390,2057,1724,1796,1544,937,583,359,4140,1503,1625,1577,965,1136,1785,1230,1429,1601,1548,1187,803,818,712,2814,1830,443,699,440,458,307,476,763,612,847,678,323,286,246,412,1691,548,701,554,439,552,745,581,666,918,759,530,465,248,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","2014",,,"Louisiana","22",,,,,,,,,,,,,,,,,,"Louisiana",2919142,1442994,87687,86256,91755,53552,37945,97468,101733,104125,183254,198007,193891,127240,60305,19776,1476148,84519,87618,82577,49740,33613,95934,101458,99309,178634,200975,201856,141203,80982,37730,1502184,711227,56726,62705,57314,35078,23992,66204,52480,48112,85677,85350,78549,39627,15217,4196,790957,56505,58747,59831,32658,23643,65892,58445,58928,96235,98271,93358,52545,26502,9397,78675,38150,2298,2711,2223,1351,1385,2973,3355,3917,7095,3969,3980,2245,508,140,40525,1595,2469,2900,1608,1676,2409,3927,3162,7912,4099,4807,3243,418,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",5872,3991,2116,3934,4002,1582,2555,3276,2128,1896,2579,1800,736,684,1890,1798,4327,2242,4242,4087,1480,2294,2725,2267,1418,1711,1266,1057,499,2445,2348,7081,5002,2271,3614,3788,1658,2341,2787,2602,2033,3265,2659,1111,1288,1318,835,4426,2070,3186,3480,2108,1620,2004,1791,2258,2719,2035,841,1386,1301,1230,2378,2131,634,565,818,551,550,911,830,874,1268,914,615,453,378,177,1719,731,752,722,723,640,568,626,926,1189,856,736,595,194,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","2014",,,"Maine","23",,,,,,,,,,,,,,,,,,"Maine",1260278,615787,29503,33346,34580,22868,15637,37677,35200,34674,72324,94995,97121,66508,30363,10991,644491,27810,30580,33851,21194,15749,35176,36400,35789,74439,98532,104390,70767,39575,20239,16557,7940,521,1149,734,153,615,444,690,870,1276,865,468,110,45,0,8617,1495,1321,992,166,564,851,851,843,931,61,302,240,0,0,14447,5497,100,287,318,369,153,544,248,567,1300,926,381,304,0,0,8950,251,562,521,502,342,922,218,921,1446,1366,1326,491,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1558,1503,366,2001,2042,457,591,706,1005,381,424,474,232,301,1263,1252,1281,409,1809,1755,560,876,856,614,419,279,552,669,122,1513,1539,1197,781,260,417,277,140,349,275,499,569,465,453,276,125,73,159,946,586,414,386,154,371,504,434,503,476,108,252,152,159,159,1256,781,159,182,269,218,138,319,217,312,464,363,246,197,159,159,963,217,285,297,398,196,380,236,396,561,570,537,326,108,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","2014",,,"Maryland","24",,,,,,,,,,,,,,,,,,"Maryland",3432582,1684924,91676,96200,99903,62564,46082,107705,118646,111131,203715,255256,238654,152585,71266,29541,1747658,89598,92286,97414,59750,41784,104993,109910,109671,206171,263693,250111,169838,95646,56793,1774618,828010,57821,61077,63125,37283,25100,69050,61593,56471,108696,121836,92391,48722,18775,6070,946608,58364,58508,59124,36198,24766,68403,67855,67273,127635,145271,120380,67777,32618,12436,369996,175769,10023,12114,12060,6530,5109,10597,13957,14133,30877,24496,17907,11806,4414,1746,194227,10302,10897,11206,6331,3817,12315,14864,17544,35507,27820,21566,14427,5813,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",12913,7142,1857,3512,3520,1276,1519,2267,2261,1627,2885,1686,1299,814,1915,1799,7629,2215,3690,3010,1170,2120,2358,1605,1532,1980,1660,1210,1093,2083,2100,8851,4842,1906,3761,3739,1378,1474,1903,1862,1789,1803,1335,1107,893,989,986,5380,1693,2981,2996,1388,1368,1955,1514,1669,1754,1629,1183,1192,1670,1340,4570,2739,888,1508,1433,673,785,902,736,759,904,706,661,666,741,543,2834,935,1417,1289,785,586,1046,1246,702,1103,854,887,798,890,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","2014",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,"Massachusetts",5347420,2591223,128830,133404,155365,97545,77100,180643,177463,167886,312499,397380,370288,233668,112507,46645,2756197,123099,130141,144197,92809,76867,181330,178558,166929,324411,418158,397488,268337,158914,94959,477527,230349,17326,17920,16290,8841,8331,23227,19857,14488,31173,31230,23800,12355,4287,1224,247178,16856,15189,17418,10460,7963,22015,20734,17827,33751,33105,26395,14410,7810,3245,413079,196961,12110,11317,11218,7735,7387,18215,19600,18373,33695,25012,16878,9571,4546,1304,216118,12080,12427,12880,6604,8474,18616,21799,22691,35873,27068,19346,10690,5586,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",13679,7687,1998,4654,4657,1349,1297,2009,2282,1946,2496,2117,1255,1007,2482,2326,8168,2001,4139,4801,1162,1335,1745,1729,2044,2418,2075,1471,1062,3007,2915,8002,4520,1493,1861,1966,698,1047,2197,1454,1206,1738,1360,1095,859,926,528,4842,1410,1632,1703,881,956,1198,1263,1035,1430,1158,1080,866,919,721,4865,3201,1219,1399,1209,787,876,1027,760,1190,1204,840,468,681,665,490,2903,944,1421,1307,723,892,986,1086,1195,1395,723,436,579,612,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","2014",,,"Michigan","26",,,,,,,,,,,,,,,,,,"Michigan",7816586,3859600,207849,225737,240791,153113,103910,274230,235058,230803,460616,570500,564408,358754,171652,62179,3956986,197013,216254,230230,146173,99518,261151,224918,226258,455430,574468,586631,392573,225963,120406,1375194,648268,48155,49357,50381,30583,21849,64627,47833,39482,79953,81538,72676,39667,16921,5246,726926,48650,45437,50619,31437,22842,65423,48410,44081,94570,94525,88538,52538,27021,12835,281404,136503,8836,10591,9099,5681,5380,12412,11142,11446,23112,18423,10643,6926,2460,352,144901,7777,9910,10160,5503,5129,11848,11758,12413,26232,18247,12910,8656,3419,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",10212,5676,1704,5046,4898,1180,1337,1700,1460,1360,1982,1712,989,762,2337,2400,5708,1514,4684,4382,1166,1419,1903,1429,1342,1630,1677,996,921,3364,3349,8062,5149,1900,3156,3048,1082,1371,1812,1516,1453,1678,1550,899,1065,1070,803,4614,1596,2790,2802,1332,1334,1912,1188,1236,1261,1145,902,649,1320,1274,4069,2716,838,1116,986,712,868,1142,960,950,1196,945,722,677,449,251,2524,704,959,931,660,765,1123,757,890,1170,1062,768,637,511,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","2014",,,"Minnesota","27",,,,,,,,,,,,,,,,,,"Minnesota",4606959,2284838,133898,137966,142198,86571,57531,145355,148276,157209,281860,336995,326039,194815,97663,38462,2322121,127467,128899,137610,81411,57567,141853,142654,152087,274857,337067,330912,210948,126346,72443,312432,160244,15157,16185,15416,8331,4864,14815,13471,14238,20913,18467,12623,4226,1063,475,152188,14030,16528,13787,7583,4174,12519,14033,12313,21454,16903,10761,5319,1928,856,250352,120871,9868,12511,7632,6025,4006,11019,12791,12542,19063,12724,7446,3721,1265,258,129481,9376,10855,10139,5343,3536,11924,13942,13396,20993,12910,9110,4264,2558,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",7887,5092,1477,3651,3256,1132,1160,1524,1026,1401,1458,1179,729,592,1747,1739,4212,1271,3532,3336,1005,1284,1697,1129,1202,1653,1561,965,486,2202,2236,5955,3649,1139,1350,1853,1024,811,1333,1337,1030,1139,1095,869,548,362,266,4080,1347,1764,1786,764,854,1024,856,868,1037,836,605,547,469,338,3570,2905,1030,1429,1043,810,584,797,840,1097,1179,987,575,583,382,241,2587,785,1330,1128,541,465,894,913,852,1140,779,843,576,769,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","2014",,,"Mississippi","28",,,,,,,,,,,,,,,,,,"Mississippi",1761195,868554,52539,51836,57839,32821,27165,57276,53327,53099,110517,118683,115070,85158,41299,11925,892641,46626,54078,52041,31188,26642,51197,53256,51587,109672,118650,122325,94028,55415,25936,1132556,534898,43746,42627,50441,26549,23395,43402,38016,35090,70209,60087,59320,27060,11935,3021,597658,38304,45950,43697,27696,21133,47455,41583,42559,81865,73577,69025,36915,19687,8212,24009,10679,799,193,623,358,277,1217,858,918,2021,1623,906,521,365,0,13330,177,458,649,359,1002,730,903,1289,1868,1999,1516,1408,692,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",4009,3442,2071,2908,2910,1812,2565,2290,1533,2099,2020,1499,604,465,1441,1513,3125,1621,3083,3212,1572,2577,2851,1589,1526,1800,1277,729,500,2087,2117,5543,4628,2340,2830,2835,1636,2473,2708,2341,2163,2848,2613,1598,1620,1295,822,4289,2112,2349,2309,1567,2247,2578,2072,2096,2515,2168,987,1285,1315,1110,2276,1512,471,162,365,319,247,732,568,436,853,624,698,401,283,206,1471,186,322,527,315,757,414,609,642,821,738,525,674,542,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","2014",,,"Missouri","29",,,,,,,,,,,,,,,,,,"Missouri",4990271,2454365,145480,152809,155667,94086,63448,169418,159349,162013,302529,345226,334055,221716,111041,37528,2535906,136281,143952,149939,92641,63316,164850,156007,161241,296348,350886,352188,247106,147382,73769,711601,334045,26521,25915,27112,16369,11672,31670,25358,22352,41728,42192,34427,19206,7998,1525,377556,27905,28446,24352,17102,11358,33268,25612,26550,48422,48329,42422,25388,13196,5206,107426,51256,3971,3140,4139,1611,1640,5274,4918,5448,7907,6798,3381,1688,1220,121,56170,2324,3646,2460,1773,2469,4559,5402,5066,10565,7689,5709,3200,1138,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",5990,4345,1854,4170,4597,1572,2028,2619,1629,1576,1689,1530,906,585,2304,2258,4090,1630,4568,4599,1508,1931,2050,1646,1667,1884,1442,802,667,2731,2721,6936,4143,1485,2290,2546,896,855,1479,1549,1497,1817,1447,1106,905,703,458,4945,2001,2213,2075,1167,1092,1934,1499,1269,1524,1286,1077,1036,1078,902,3866,2634,826,1113,988,479,490,1037,719,1079,988,935,469,617,414,113,2723,484,947,593,610,614,887,720,959,1346,1016,928,577,417,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","2014",,,"Montana","30",,,,,,,,,,,,,,,,,,"Montana",914571,459767,24508,28103,26635,16760,12937,32662,28380,29293,53321,59885,69534,47902,22657,7190,454804,24681,25692,25501,15118,10942,31767,25902,28245,50700,59672,71223,46656,25439,13266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8176,3542,31,35,546,318,297,907,370,119,486,86,243,45,45,14,4634,32,129,305,202,534,394,512,215,614,625,639,335,40,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",1553,1367,584,1854,1821,654,1160,1291,859,402,672,600,406,334,1040,1064,1397,649,1310,1419,568,852,1254,786,415,600,553,548,272,1144,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,867,47,51,434,254,214,516,290,151,356,91,219,80,72,30,1047,70,125,202,223,489,316,404,186,337,356,363,315,52,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","2014",,,"Nebraska","31",,,,,,,,,,,,,,,,,,"Nebraska",1660976,826336,56033,56144,55396,32337,23508,59217,53598,57781,102797,107224,107575,66154,35966,12606,834640,51206,53144,52291,30628,23088,55542,52845,56145,97779,107434,110331,71303,47051,25853,88620,44899,4197,4632,3814,2078,1971,3755,4024,3646,5464,4851,4035,1574,551,307,43721,4557,4729,2937,1955,1310,3884,3032,3865,5165,4497,4341,2270,756,423,38892,18877,1869,1532,1017,943,936,1904,1474,2106,3001,1953,1121,698,88,235,20015,1022,1279,1684,620,773,1693,2266,1768,3434,2427,1639,957,121,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",5151,3435,1141,2317,2246,1059,1301,1739,1232,983,1021,944,650,428,994,973,3081,922,2156,2035,842,1416,1552,929,1047,961,860,575,611,1593,1515,3209,1992,799,935,806,354,501,800,714,604,795,671,393,315,195,189,1988,840,918,776,360,318,529,332,574,523,381,461,310,210,207,1651,1041,611,583,464,251,435,375,495,308,276,352,304,285,117,210,1043,328,339,470,229,262,315,378,233,474,501,267,349,111,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","2014",,,"Nevada","32",,,,,,,,,,,,,,,,,,"Nevada",1931264,983531,52422,59129,60502,35501,19901,59926,67688,68387,132352,140079,129628,100814,44719,12483,947733,52025,58845,56001,31467,19596,55520,61696,62875,121753,128741,130942,100955,48691,18626,242994,121074,9517,9508,8210,5180,3457,9825,9452,9643,17634,15683,12094,6764,3121,986,121920,8039,10726,7562,5221,3297,9700,10359,9534,16166,15468,12524,8261,4159,904,221841,99414,4100,5517,6023,3854,3410,8054,7335,6860,14768,14280,12441,8500,4003,269,122427,3739,4723,5489,4183,2318,8204,8744,9249,19604,18705,18690,12342,5027,1410,18553,9207,318,417,559,442,77,1283,1053,1134,1357,1135,1027,223,182,0,9346,272,762,728,324,274,586,995,600,1756,1743,556,502,248,0,"Nevada",12232,7339,1750,2949,3032,1618,1523,2181,2123,1930,2542,2146,1486,840,1578,1539,6781,1837,2838,3072,1405,1100,1691,2050,1560,2195,2205,1633,1048,2148,1825,3963,2796,847,1429,1364,526,347,833,705,733,1054,814,384,334,428,441,2343,800,1587,1254,783,427,722,621,489,736,478,394,263,448,387,4609,2549,794,1030,1065,461,639,846,786,848,885,642,406,354,314,248,3297,738,1009,951,614,487,797,924,652,1162,1089,643,380,572,522,1480,982,281,197,428,321,105,523,527,603,600,535,213,182,172,203,869,230,435,234,219,170,321,382,385,535,632,316,326,212,203
